"GEOGRAPHY_CODE"	"OBS_VALUE"
"E01000001"	1.3
"E01000002"	0.2
"E01000003"	0.3
"E01000005"	2.1
"E01000006"	3.4
"E01000007"	3.0
"E01000008"	0.6
"E01000009"	8.2
"E01000010"	2.0
"E01000011"	18.5
"E01000012"	2.3
"E01000013"	1.5
"E01000014"	4.2
"E01000015"	1.5
"E01000016"	1.6
"E01000017"	5.5
"E01000018"	1.9
"E01000019"	1.6
"E01000020"	3.0
"E01000021"	3.8
"E01000022"	1.2
"E01000023"	6.8
"E01000024"	1.1
"E01000025"	0.6
"E01000027"	1.8
"E01000028"	1.3
"E01000029"	1.0
"E01000030"	1.5
"E01000031"	3.7
"E01000032"	3.9
"E01000033"	0.2
"E01000034"	3.2
"E01000035"	3.6
"E01000036"	2.9
"E01000037"	0.5
"E01000038"	1.0
"E01000039"	1.5
"E01000040"	3.2
"E01000041"	1.0
"E01000042"	1.8
"E01000043"	1.1
"E01000044"	3.7
"E01000045"	1.7
"E01000046"	1.5
"E01000048"	0.3
"E01000049"	0.8
"E01000050"	1.3
"E01000051"	0.4
"E01000052"	3.4
"E01000053"	1.5
"E01000054"	1.7
"E01000055"	0.9
"E01000056"	1.5
"E01000057"	1.3
"E01000058"	1.6
"E01000059"	1.7
"E01000060"	1.1
"E01000061"	0.6
"E01000062"	1.7
"E01000063"	5.0
"E01000064"	0.8
"E01000065"	2.7
"E01000066"	0.6
"E01000067"	0.4
"E01000068"	10.4
"E01000069"	1.1
"E01000070"	2.1
"E01000071"	0.9
"E01000072"	2.8
"E01000073"	3.6
"E01000074"	2.4
"E01000075"	1.0
"E01000076"	3.9
"E01000077"	3.0
"E01000078"	1.1
"E01000079"	3.7
"E01000080"	2.7
"E01000081"	2.4
"E01000082"	4.4
"E01000083"	1.9
"E01000084"	2.1
"E01000085"	1.7
"E01000086"	2.3
"E01000087"	0.8
"E01000088"	2.4
"E01000089"	5.1
"E01000090"	7.9
"E01000091"	3.9
"E01000092"	0.8
"E01000093"	0.6
"E01000094"	0.4
"E01000095"	0.0
"E01000096"	0.5
"E01000097"	2.9
"E01000098"	2.8
"E01000099"	1.7
"E01000100"	4.0
"E01000101"	2.7
"E01000102"	2.5
"E01000103"	1.6
"E01000104"	1.2
"E01000105"	1.4
"E01000106"	1.1
"E01000107"	2.5
"E01000108"	0.9
"E01000109"	1.3
"E01000110"	3.2
"E01000111"	4.3
"E01000112"	4.1
"E01000113"	10.9
"E01000114"	4.0
"E01000115"	0.4
"E01000116"	1.3
"E01000117"	2.4
"E01000118"	2.4
"E01000119"	1.6
"E01000120"	1.8
"E01000121"	2.0
"E01000122"	0.6
"E01000123"	4.4
"E01000124"	7.2
"E01000125"	2.1
"E01000126"	3.3
"E01000127"	3.6
"E01000128"	3.4
"E01000129"	3.9
"E01000130"	3.1
"E01000131"	2.8
"E01000132"	2.8
"E01000133"	6.2
"E01000134"	2.2
"E01000135"	13.8
"E01000136"	16.6
"E01000137"	6.3
"E01000138"	13.3
"E01000139"	10.2
"E01000140"	17.3
"E01000141"	25.3
"E01000142"	8.9
"E01000143"	5.9
"E01000144"	31.2
"E01000145"	19.4
"E01000146"	26.8
"E01000147"	6.1
"E01000148"	6.7
"E01000150"	3.4
"E01000151"	0.5
"E01000152"	0.9
"E01000153"	1.6
"E01000154"	0.6
"E01000155"	5.2
"E01000156"	25.6
"E01000157"	11.0
"E01000158"	24.5
"E01000159"	3.4
"E01000160"	21.8
"E01000161"	15.8
"E01000162"	3.6
"E01000163"	5.1
"E01000164"	3.1
"E01000165"	0.6
"E01000166"	1.8
"E01000167"	8.6
"E01000168"	1.5
"E01000169"	12.0
"E01000170"	14.2
"E01000171"	13.7
"E01000172"	1.8
"E01000173"	1.9
"E01000174"	8.6
"E01000175"	3.2
"E01000176"	5.8
"E01000177"	11.9
"E01000178"	16.4
"E01000179"	16.1
"E01000180"	7.9
"E01000181"	25.7
"E01000182"	25.2
"E01000183"	5.6
"E01000184"	2.2
"E01000185"	3.3
"E01000186"	0.6
"E01000187"	0.7
"E01000188"	0.6
"E01000189"	1.5
"E01000190"	0.7
"E01000191"	1.5
"E01000192"	3.3
"E01000193"	7.0
"E01000194"	7.1
"E01000195"	1.7
"E01000196"	23.8
"E01000197"	38.8
"E01000198"	2.1
"E01000199"	3.6
"E01000200"	12.4
"E01000201"	4.8
"E01000202"	24.5
"E01000203"	4.4
"E01000204"	19.7
"E01000205"	0.8
"E01000206"	3.8
"E01000207"	1.4
"E01000208"	3.5
"E01000209"	1.8
"E01000210"	2.3
"E01000211"	6.9
"E01000212"	16.1
"E01000213"	0.8
"E01000214"	7.1
"E01000215"	10.3
"E01000216"	17.2
"E01000217"	19.9
"E01000218"	16.1
"E01000219"	28.9
"E01000220"	32.4
"E01000221"	2.0
"E01000222"	7.5
"E01000223"	1.6
"E01000224"	7.9
"E01000225"	7.4
"E01000226"	6.2
"E01000227"	3.4
"E01000228"	3.5
"E01000229"	3.4
"E01000230"	2.1
"E01000231"	9.5
"E01000232"	4.3
"E01000233"	4.7
"E01000234"	11.2
"E01000235"	5.9
"E01000236"	3.6
"E01000237"	12.2
"E01000238"	17.2
"E01000239"	4.5
"E01000240"	12.9
"E01000241"	21.1
"E01000242"	6.9
"E01000243"	25.4
"E01000244"	15.2
"E01000245"	4.5
"E01000246"	3.9
"E01000247"	7.2
"E01000248"	15.1
"E01000249"	3.2
"E01000250"	9.2
"E01000251"	13.9
"E01000252"	9.3
"E01000253"	0.6
"E01000254"	4.2
"E01000255"	3.0
"E01000256"	0.9
"E01000257"	5.5
"E01000258"	18.8
"E01000259"	2.6
"E01000260"	7.5
"E01000261"	8.7
"E01000262"	2.7
"E01000263"	1.7
"E01000264"	12.1
"E01000265"	17.2
"E01000266"	3.4
"E01000267"	3.3
"E01000268"	8.8
"E01000269"	1.8
"E01000270"	4.7
"E01000271"	1.5
"E01000272"	4.4
"E01000273"	3.5
"E01000274"	6.9
"E01000275"	4.1
"E01000276"	0.6
"E01000277"	6.4
"E01000278"	0.6
"E01000279"	3.1
"E01000280"	0.2
"E01000281"	3.4
"E01000282"	6.6
"E01000283"	0.6
"E01000284"	7.8
"E01000285"	2.9
"E01000286"	1.9
"E01000287"	4.1
"E01000288"	1.4
"E01000289"	0.8
"E01000290"	0.6
"E01000291"	1.3
"E01000292"	4.9
"E01000293"	8.7
"E01000294"	4.3
"E01000295"	25.5
"E01000296"	22.6
"E01000297"	28.2
"E01000298"	26.5
"E01000299"	17.9
"E01000300"	21.0
"E01000301"	6.0
"E01000302"	17.6
"E01000303"	7.5
"E01000304"	34.6
"E01000305"	6.7
"E01000306"	29.1
"E01000307"	7.1
"E01000308"	1.9
"E01000309"	20.1
"E01000310"	9.7
"E01000311"	4.3
"E01000312"	0.8
"E01000313"	20.1
"E01000314"	14.8
"E01000315"	1.0
"E01000316"	8.2
"E01000317"	19.2
"E01000318"	7.8
"E01000319"	14.7
