"GEOGRAPHY_CODE"	"OBS_VALUE"
"E01000001"	2.1
"E01000002"	2.2
"E01000003"	0.5
"E01000005"	4.0
"E01000006"	0.4
"E01000007"	2.2
"E01000008"	0.0
"E01000009"	3.6
"E01000010"	6.8
"E01000011"	0.9
"E01000012"	0.1
"E01000013"	2.2
"E01000014"	0.2
"E01000015"	0.0
"E01000016"	1.7
"E01000017"	0.2
"E01000018"	0.0
"E01000019"	1.0
"E01000020"	0.9
"E01000021"	9.7
"E01000022"	0.0
"E01000023"	3.3
"E01000024"	0.4
"E01000025"	0.2
"E01000027"	0.0
"E01000028"	0.3
"E01000029"	0.4
"E01000030"	1.3
"E01000031"	0.6
"E01000032"	6.2
"E01000033"	0.2
"E01000034"	0.0
"E01000035"	4.9
"E01000036"	0.6
"E01000037"	0.0
"E01000038"	0.9
"E01000039"	0.4
"E01000040"	3.1
"E01000041"	0.0
"E01000042"	0.1
"E01000043"	0.0
"E01000044"	0.2
"E01000045"	1.0
"E01000046"	0.3
"E01000048"	0.6
"E01000049"	0.5
"E01000050"	2.7
"E01000051"	0.1
"E01000052"	0.5
"E01000053"	2.8
"E01000054"	0.2
"E01000055"	0.0
"E01000056"	0.2
"E01000057"	1.8
"E01000058"	0.3
"E01000059"	0.0
"E01000060"	0.6
"E01000061"	0.1
"E01000062"	0.1
"E01000063"	0.3
"E01000064"	2.1
"E01000065"	0.0
"E01000066"	0.3
"E01000067"	0.0
"E01000068"	0.0
"E01000069"	0.2
"E01000070"	2.8
"E01000071"	0.5
"E01000072"	2.9
"E01000073"	0.0
"E01000074"	0.0
"E01000075"	1.6
"E01000076"	0.1
"E01000077"	3.5
"E01000078"	2.1
"E01000079"	0.2
"E01000080"	0.2
"E01000081"	0.3
"E01000082"	1.5
"E01000083"	0.0
"E01000084"	1.7
"E01000085"	3.4
"E01000086"	0.0
"E01000087"	5.1
"E01000088"	0.5
"E01000089"	0.0
"E01000090"	0.3
"E01000091"	0.3
"E01000092"	0.7
"E01000093"	1.7
"E01000094"	0.0
"E01000095"	0.5
"E01000096"	0.6
"E01000097"	0.1
"E01000098"	3.8
"E01000099"	0.0
"E01000100"	0.0
"E01000101"	1.2
"E01000102"	0.2
"E01000103"	0.0
"E01000104"	0.7
"E01000105"	2.5
"E01000106"	1.8
"E01000107"	0.2
"E01000108"	2.9
"E01000109"	1.6
"E01000110"	0.6
"E01000111"	0.0
"E01000112"	4.1
"E01000113"	4.1
"E01000114"	4.3
"E01000115"	0.2
"E01000116"	5.1
"E01000117"	1.9
"E01000118"	0.0
"E01000119"	0.0
"E01000120"	0.6
"E01000121"	0.0
"E01000122"	0.0
"E01000123"	0.6
"E01000124"	1.7
"E01000125"	1.1
"E01000126"	0.1
"E01000127"	0.0
"E01000128"	0.5
"E01000129"	11.1
"E01000130"	0.3
"E01000131"	0.2
"E01000132"	0.0
"E01000133"	0.3
"E01000134"	0.0
"E01000135"	0.3
"E01000136"	0.5
"E01000137"	0.4
"E01000138"	0.0
"E01000139"	1.9
"E01000140"	6.2
"E01000141"	4.1
"E01000142"	0.1
"E01000143"	2.0
"E01000144"	3.3
"E01000145"	0.0
"E01000146"	13.5
"E01000147"	0.9
"E01000148"	2.2
"E01000150"	0.3
"E01000151"	0.6
"E01000152"	0.5
"E01000153"	0.2
"E01000154"	0.0
"E01000155"	0.5
"E01000156"	3.5
"E01000157"	0.0
"E01000158"	0.3
"E01000159"	0.2
"E01000160"	0.8
"E01000161"	1.9
"E01000162"	5.9
"E01000163"	0.4
"E01000164"	0.4
"E01000165"	0.0
"E01000166"	1.1
"E01000167"	0.2
"E01000168"	0.2
"E01000169"	0.1
"E01000170"	2.4
"E01000171"	4.8
"E01000172"	0.0
"E01000173"	0.5
"E01000174"	6.2
"E01000175"	1.1
"E01000176"	0.4
"E01000177"	2.0
"E01000178"	2.5
"E01000179"	0.0
"E01000180"	0.8
"E01000181"	10.8
"E01000182"	3.6
"E01000183"	1.8
"E01000184"	0.4
"E01000185"	0.5
"E01000186"	0.0
"E01000187"	0.2
"E01000188"	0.0
"E01000189"	0.4
"E01000190"	0.2
"E01000191"	1.8
"E01000192"	9.7
"E01000193"	0.8
"E01000194"	9.5
"E01000195"	0.1
"E01000196"	4.6
"E01000197"	0.3
"E01000198"	0.3
"E01000199"	1.6
"E01000200"	0.6
"E01000201"	1.1
"E01000202"	0.9
"E01000203"	0.3
"E01000204"	1.7
"E01000205"	0.3
"E01000206"	0.8
"E01000207"	7.2
"E01000208"	0.0
"E01000209"	0.3
"E01000210"	0.6
"E01000211"	12.2
"E01000212"	0.5
"E01000213"	0.2
"E01000214"	0.8
"E01000215"	1.0
"E01000216"	1.0
"E01000217"	1.3
"E01000218"	3.4
"E01000219"	0.5
"E01000220"	0.5
"E01000221"	0.8
"E01000222"	0.0
"E01000223"	0.2
"E01000224"	1.3
"E01000225"	0.2
"E01000226"	0.5
"E01000227"	0.0
"E01000228"	0.0
"E01000229"	0.0
"E01000230"	1.6
"E01000231"	0.2
"E01000232"	0.1
"E01000233"	4.4
"E01000234"	0.7
"E01000235"	4.7
"E01000236"	0.4
"E01000237"	3.4
"E01000238"	0.8
"E01000239"	1.3
"E01000240"	0.7
"E01000241"	0.0
"E01000242"	0.3
"E01000243"	3.2
"E01000244"	4.9
"E01000245"	2.9
"E01000246"	0.0
"E01000247"	0.9
"E01000248"	1.6
"E01000249"	0.3
"E01000250"	6.8
"E01000251"	3.0
"E01000252"	0.0
"E01000253"	0.8
"E01000254"	0.2
"E01000255"	0.9
"E01000256"	0.1
"E01000257"	0.8
"E01000258"	2.2
"E01000259"	1.0
"E01000260"	0.6
"E01000261"	0.7
"E01000262"	0.1
"E01000263"	0.0
"E01000264"	14.7
"E01000265"	1.1
"E01000266"	0.6
"E01000267"	2.1
"E01000268"	6.8
"E01000269"	0.0
"E01000270"	0.2
"E01000271"	1.0
"E01000272"	0.0
"E01000273"	3.9
"E01000274"	1.8
"E01000275"	0.3
"E01000276"	0.0
"E01000277"	0.0
"E01000278"	1.0
"E01000279"	0.0
"E01000280"	1.2
"E01000281"	7.3
"E01000282"	0.5
"E01000283"	0.6
"E01000284"	0.1
"E01000285"	0.2
"E01000286"	0.1
"E01000287"	1.1
"E01000288"	0.0
"E01000289"	0.3
"E01000290"	0.4
"E01000291"	0.2
"E01000292"	1.1
"E01000293"	5.2
"E01000294"	0.9
"E01000295"	1.3
"E01000296"	3.7
"E01000297"	0.9
"E01000298"	10.4
"E01000299"	6.5
"E01000300"	0.6
"E01000301"	2.0
"E01000302"	2.2
"E01000303"	0.0
"E01000304"	0.3
"E01000305"	6.5
"E01000306"	0.0
"E01000307"	0.0
"E01000308"	0.4
"E01000309"	0.2
"E01000310"	6.2
