"GEOGRAPHY_CODE"	"OBS_VALUE"
"E01000001"	0.9
"E01000002"	3.5
"E01000003"	0.3
"E01000005"	0.0
"E01000006"	53.2
"E01000007"	8.1
"E01000008"	5.6
"E01000009"	36.1
"E01000010"	9.2
"E01000011"	50.2
"E01000012"	16.2
"E01000013"	65.3
"E01000014"	66.7
"E01000015"	50.6
"E01000016"	72.1
"E01000017"	64.7
"E01000018"	67.9
"E01000019"	59.8
"E01000020"	52.8
"E01000021"	40.7
"E01000022"	55.3
"E01000023"	21.8
"E01000024"	61.9
"E01000025"	68.4
"E01000027"	43.3
"E01000028"	31.6
"E01000029"	29.9
"E01000030"	21.0
"E01000031"	44.0
"E01000032"	26.0
"E01000033"	34.4
"E01000034"	30.7
"E01000035"	49.5
"E01000036"	49.1
"E01000037"	55.8
"E01000038"	45.1
"E01000039"	51.1
"E01000040"	47.8
"E01000041"	71.0
"E01000042"	35.2
"E01000043"	28.9
"E01000044"	60.3
"E01000045"	58.4
"E01000046"	61.4
"E01000048"	4.2
"E01000049"	18.0
"E01000050"	44.9
"E01000051"	1.6
"E01000052"	56.0
"E01000053"	42.3
"E01000054"	68.5
"E01000055"	70.6
"E01000056"	63.6
"E01000057"	60.6
"E01000058"	59.6
"E01000059"	74.8
"E01000060"	34.1
"E01000061"	2.5
"E01000062"	51.3
"E01000063"	68.2
"E01000064"	46.5
"E01000065"	48.5
"E01000066"	40.2
"E01000067"	48.2
"E01000068"	58.0
"E01000069"	64.6
"E01000070"	49.5
"E01000071"	48.3
"E01000072"	47.0
"E01000073"	68.8
"E01000074"	64.1
"E01000075"	42.0
"E01000076"	62.8
"E01000077"	65.7
"E01000078"	62.6
"E01000079"	66.9
"E01000080"	63.2
"E01000081"	71.6
"E01000082"	57.7
"E01000083"	58.5
"E01000084"	71.8
"E01000085"	58.6
"E01000086"	75.5
"E01000087"	40.2
"E01000088"	59.3
"E01000089"	68.7
"E01000090"	59.5
"E01000091"	33.0
"E01000092"	47.8
"E01000093"	24.5
