"GEOGRAPHY_CODE"	"OBS_VALUE"
"E01000001"	95.6
"E01000002"	94.0
"E01000003"	98.9
"E01000005"	93.6
"E01000006"	21.9
"E01000007"	81.7
"E01000008"	90.4
"E01000009"	37.9
"E01000010"	77.3
"E01000011"	7.3
"E01000012"	67.4
"E01000013"	7.7
"E01000014"	10.1
"E01000015"	27.8
"E01000016"	4.2
"E01000017"	7.0
"E01000018"	2.6
"E01000019"	4.5
"E01000020"	13.1
"E01000021"	13.0
"E01000022"	2.9
"E01000023"	53.0
"E01000024"	3.0
"E01000025"	6.6
"E01000027"	22.7
"E01000028"	49.9
"E01000029"	16.5
"E01000030"	57.1
"E01000031"	15.5
"E01000032"	19.3
"E01000033"	33.0
"E01000034"	10.8
"E01000035"	23.9
"E01000036"	6.7
"E01000037"	7.6
"E01000038"	9.9
"E01000039"	16.6
"E01000040"	28.5
"E01000041"	5.4
"E01000042"	46.5
"E01000043"	11.8
"E01000044"	9.5
"E01000045"	15.6
"E01000046"	10.0
"E01000048"	93.2
"E01000049"	70.4
"E01000050"	34.2
"E01000051"	95.5
"E01000052"	13.4
"E01000053"	33.1
"E01000054"	5.5
"E01000055"	4.8
"E01000056"	15.6
"E01000057"	13.5
"E01000058"	13.7
"E01000059"	3.6
"E01000060"	39.4
"E01000061"	94.5
"E01000062"	15.0
"E01000063"	3.3
"E01000064"	22.2
"E01000065"	30.7
"E01000066"	32.7
"E01000067"	31.8
"E01000068"	1.7
"E01000069"	3.1
"E01000070"	11.0
"E01000071"	26.2
"E01000072"	28.3
"E01000073"	4.4
"E01000074"	11.5
"E01000075"	2.1
"E01000076"	10.4
"E01000077"	6.5
"E01000078"	12.4
"E01000079"	8.1
"E01000080"	9.7
"E01000081"	3.5
"E01000082"	13.5
"E01000083"	8.0
"E01000084"	5.0
"E01000085"	18.4
"E01000086"	1.9
"E01000087"	14.6
"E01000088"	17.4
"E01000089"	3.6
"E01000090"	3.7
"E01000091"	45.7
"E01000092"	29.4
"E01000093"	60.9
"E01000094"	57.4
"E01000095"	8.7
"E01000096"	64.1
"E01000097"	13.7
"E01000098"	13.9
"E01000099"	5.9
"E01000100"	5.6
"E01000101"	7.2
"E01000102"	11.5
"E01000103"	30.5
"E01000104"	68.3
"E01000105"	46.6
"E01000106"	67.8
"E01000107"	15.8
"E01000108"	31.6
"E01000109"	4.3
"E01000110"	7.6
"E01000111"	43.9
"E01000112"	38.1
"E01000113"	11.8
"E01000114"	10.4
"E01000115"	1.6
"E01000116"	3.6
"E01000117"	23.3
"E01000118"	11.8
"E01000119"	2.9
"E01000120"	1.4
"E01000121"	27.7
"E01000122"	7.2
"E01000123"	18.5
"E01000124"	43.6
"E01000125"	58.1
"E01000126"	53.5
"E01000127"	22.0
"E01000128"	12.1
"E01000129"	46.4
"E01000130"	30.5
"E01000131"	32.8
"E01000132"	12.8
"E01000133"	11.1
"E01000134"	28.0
"E01000135"	24.3
"E01000136"	22.1
"E01000137"	69.3
"E01000138"	9.0
"E01000139"	45.6
"E01000140"	45.9
"E01000141"	35.8
"E01000142"	50.9
"E01000143"	48.2
"E01000144"	30.9
"E01000145"	2.6
"E01000146"	31.1
"E01000147"	5.7
"E01000148"	58.0
"E01000150"	38.1
"E01000151"	78.2
"E01000152"	66.6
"E01000153"	45.7
"E01000154"	58.2
"E01000155"	69.9
"E01000156"	21.4
"E01000157"	55.3
"E01000158"	25.0
"E01000159"	28.5
"E01000160"	41.4
"E01000161"	40.4
"E01000162"	18.6
"E01000163"	73.2
"E01000164"	51.7
"E01000165"	33.1
"E01000166"	28.6
"E01000167"	30.3
"E01000168"	1.4
"E01000169"	28.0
"E01000170"	18.1
"E01000171"	49.0
"E01000172"	13.5
"E01000173"	16.9
"E01000174"	40.4
"E01000175"	18.4
"E01000176"	46.6
"E01000177"	28.5
"E01000178"	30.9
"E01000179"	47.3
"E01000180"	58.3
"E01000181"	11.1
"E01000182"	26.9
"E01000183"	41.0
"E01000184"	51.9
"E01000185"	85.8
"E01000186"	3.0
"E01000187"	24.9
"E01000188"	8.4
"E01000189"	87.7
"E01000190"	15.5
"E01000191"	25.7
"E01000192"	38.4
"E01000193"	25.1
"E01000194"	20.3
"E01000195"	44.1
"E01000196"	58.3
"E01000197"	8.3
"E01000198"	33.1
"E01000199"	48.5
"E01000200"	54.1
"E01000201"	22.1
"E01000202"	19.3
"E01000203"	60.1
"E01000204"	27.5
"E01000205"	5.8
"E01000206"	25.8
"E01000207"	35.2
"E01000208"	41.5
"E01000209"	14.8
"E01000210"	35.0
"E01000211"	59.0
"E01000212"	10.6
"E01000213"	13.2
"E01000214"	54.5
"E01000215"	41.7
"E01000216"	23.4
"E01000217"	12.8
"E01000218"	30.1
"E01000219"	11.0
"E01000220"	17.4
"E01000221"	55.6
"E01000222"	2.1
"E01000223"	18.1
"E01000224"	4.0
"E01000225"	23.1
"E01000226"	14.1
"E01000227"	2.9
"E01000228"	7.3
"E01000229"	27.2
"E01000230"	23.8
"E01000231"	30.8
"E01000232"	20.2
"E01000233"	13.6
"E01000234"	19.6
"E01000235"	10.6
"E01000236"	62.3
