"GEOGRAPHY_CODE"	"OBS_VALUE"
"E01000001"	0.2
"E01000002"	0.1
"E01000003"	0.0
"E01000005"	0.2
"E01000006"	15.4
"E01000007"	2.7
"E01000008"	2.1
"E01000009"	8.8
"E01000010"	2.7
"E01000011"	14.4
"E01000012"	9.6
"E01000013"	18.3
"E01000014"	15.8
"E01000015"	17.2
"E01000016"	15.7
"E01000017"	19.4
"E01000018"	23.1
"E01000019"	28.7
"E01000020"	25.9
"E01000021"	30.3
"E01000022"	35.8
"E01000023"	12.5
"E01000024"	28.8
"E01000025"	19.2
"E01000027"	26.0
"E01000028"	13.9
"E01000029"	48.7
"E01000030"	17.3
"E01000031"	31.6
"E01000032"	40.5
"E01000033"	30.0
"E01000034"	48.2
"E01000035"	16.6
"E01000036"	37.0
"E01000037"	33.4
"E01000038"	41.8
"E01000039"	24.7
"E01000040"	13.7
"E01000041"	18.5
"E01000042"	11.8
"E01000043"	53.5
"E01000044"	18.2
"E01000045"	18.4
"E01000046"	22.0
"E01000048"	1.4
"E01000049"	7.9
"E01000050"	11.6
"E01000051"	1.6
"E01000052"	20.6
"E01000053"	16.2
"E01000054"	17.9
"E01000055"	19.2
"E01000056"	15.2
"E01000057"	19.3
"E01000058"	19.5
"E01000059"	14.1
"E01000060"	22.1
"E01000061"	1.5
"E01000062"	28.9
"E01000063"	19.6
"E01000064"	25.3
"E01000065"	14.2
"E01000066"	20.0
"E01000067"	17.1
"E01000068"	24.4
"E01000069"	28.5
"E01000070"	30.7
"E01000071"	20.8
"E01000072"	15.0
"E01000073"	17.6
"E01000074"	17.5
"E01000075"	47.6
"E01000076"	18.0
"E01000077"	17.3
"E01000078"	18.3
"E01000079"	17.3
"E01000080"	18.5
"E01000081"	18.5
"E01000082"	18.9
"E01000083"	27.7
"E01000084"	15.2
"E01000085"	14.1
"E01000086"	13.3
"E01000087"	35.9
"E01000088"	16.0
"E01000089"	18.3
"E01000090"	22.1
"E01000091"	12.4
"E01000092"	17.4
"E01000093"	10.1
"E01000094"	17.8
"E01000095"	30.8
"E01000096"	7.6
"E01000097"	21.3
"E01000098"	37.0
"E01000099"	19.1
"E01000100"	17.7
"E01000101"	18.9
"E01000102"	15.3
"E01000103"	56.8
"E01000104"	10.0
"E01000105"	9.9
"E01000106"	11.2
"E01000107"	21.6
"E01000108"	24.5
"E01000109"	21.2
"E01000110"	31.4
"E01000111"	16.4
"E01000112"	14.7
"E01000113"	12.3
"E01000114"	17.9
"E01000115"	69.2
"E01000116"	42.2
"E01000117"	50.9
"E01000118"	45.8
"E01000119"	61.1
"E01000120"	74.7
"E01000121"	24.0
"E01000122"	79.7
"E01000123"	31.7
"E01000124"	12.3
"E01000125"	8.8
"E01000126"	13.8
"E01000127"	17.0
"E01000128"	33.6
"E01000129"	10.8
"E01000130"	16.6
"E01000131"	48.6
"E01000132"	19.6
"E01000133"	20.7
"E01000134"	15.3
"E01000135"	39.9
"E01000136"	21.4
"E01000137"	6.2
"E01000138"	50.7
"E01000139"	23.9
"E01000140"	7.3
"E01000141"	11.1
"E01000142"	25.7
"E01000143"	18.8
"E01000144"	27.5
"E01000145"	61.3
"E01000146"	22.2
"E01000147"	79.7
"E01000148"	16.6
"E01000150"	30.2
"E01000151"	3.4
"E01000152"	8.1
"E01000153"	14.7
"E01000154"	8.3
"E01000155"	6.5
"E01000156"	24.5
"E01000157"	12.8
"E01000158"	22.4
"E01000159"	52.3
"E01000160"	12.2
"E01000161"	12.1
"E01000162"	46.1
"E01000163"	6.6
"E01000164"	25.5
"E01000165"	19.1
"E01000166"	46.8
"E01000167"	49.7
"E01000168"	71.2
"E01000169"	23.4
"E01000170"	35.2
"E01000171"	13.1
"E01000172"	48.4
"E01000173"	18.9
"E01000174"	29.5
"E01000175"	52.5
"E01000176"	11.4
"E01000177"	16.1
"E01000178"	26.0
"E01000179"	7.2
"E01000180"	17.4
"E01000181"	18.1
"E01000182"	4.4
"E01000183"	29.5
"E01000184"	12.0
"E01000185"	3.8
"E01000186"	52.2
"E01000187"	49.4
"E01000188"	37.5
"E01000189"	4.2
"E01000190"	54.2
"E01000191"	42.6
"E01000192"	26.3
"E01000193"	48.4
"E01000194"	48.4
"E01000195"	22.7
"E01000196"	7.2
"E01000197"	30.7
"E01000198"	45.4
"E01000199"	29.1
"E01000200"	18.0
"E01000201"	18.2
"E01000202"	37.7
"E01000203"	17.6
