"GEOGRAPHY_CODE"	"OBS_VALUE"
"E01000001"	0.0
"E01000002"	0.0
"E01000003"	0.0
"E01000005"	0.0
"E01000006"	0.0
"E01000007"	0.0
"E01000008"	0.0
"E01000009"	0.0
"E01000010"	0.1
"E01000011"	0.0
"E01000012"	0.1
"E01000013"	0.0
"E01000014"	0.2
"E01000015"	0.0
"E01000016"	0.0
"E01000017"	0.0
"E01000018"	0.0
"E01000019"	0.0
"E01000020"	0.0
"E01000021"	0.0
"E01000022"	0.0
"E01000023"	0.0
"E01000024"	0.0
"E01000025"	0.0
"E01000027"	0.0
"E01000028"	0.0
"E01000029"	0.0
"E01000030"	0.0
"E01000031"	0.0
"E01000032"	0.0
"E01000033"	0.2
"E01000034"	0.0
"E01000035"	0.0
"E01000036"	0.2
"E01000037"	0.0
"E01000038"	0.0
"E01000039"	0.7
"E01000040"	0.0
"E01000041"	0.0
"E01000042"	0.1
"E01000043"	0.0
"E01000044"	0.0
"E01000045"	0.0
"E01000046"	0.0
"E01000048"	0.0
"E01000049"	0.2
"E01000050"	0.0
"E01000051"	0.1
"E01000052"	0.0
"E01000053"	0.0
"E01000054"	0.0
"E01000055"	0.0
"E01000056"	0.0
"E01000057"	0.0
"E01000058"	0.0
"E01000059"	0.2
"E01000060"	0.0
"E01000061"	0.0
"E01000062"	0.0
"E01000063"	0.0
"E01000064"	0.0
"E01000065"	0.0
"E01000066"	0.0
"E01000067"	0.0
"E01000068"	0.0
"E01000069"	0.0
"E01000070"	0.0
"E01000071"	0.0
"E01000072"	0.0
"E01000073"	0.0
"E01000074"	0.2
"E01000075"	0.0
"E01000076"	0.0
"E01000077"	0.0
"E01000078"	0.0
"E01000079"	0.2
"E01000080"	0.2
"E01000081"	0.0
"E01000082"	0.0
"E01000083"	0.0
"E01000084"	0.0
"E01000085"	0.0
"E01000086"	0.0
"E01000087"	0.0
"E01000088"	0.0
"E01000089"	0.6
"E01000090"	0.0
"E01000091"	0.0
"E01000092"	0.0
"E01000093"	0.2
"E01000094"	0.0
"E01000095"	0.0
"E01000096"	0.2
"E01000097"	0.1
"E01000098"	0.2
"E01000099"	0.0
"E01000100"	0.0
"E01000101"	0.0
"E01000102"	0.0
"E01000103"	0.0
"E01000104"	0.0
"E01000105"	0.0
"E01000106"	0.1
"E01000107"	0.0
"E01000108"	0.0
"E01000109"	0.0
"E01000110"	0.0
"E01000111"	0.0
"E01000112"	0.0
"E01000113"	0.0
"E01000114"	0.0
"E01000115"	0.0
"E01000116"	0.0
"E01000117"	0.0
"E01000118"	0.0
"E01000119"	0.0
"E01000120"	0.0
"E01000121"	0.0
"E01000122"	0.2
"E01000123"	0.0
"E01000124"	0.0
"E01000125"	0.0
"E01000126"	0.0
"E01000127"	0.0
"E01000128"	0.0
"E01000129"	0.2
"E01000130"	0.0
"E01000131"	0.0
"E01000132"	0.0
"E01000133"	0.0
"E01000134"	0.0
"E01000135"	0.0
"E01000136"	0.2
"E01000137"	0.0
"E01000138"	0.0
"E01000139"	0.0
"E01000140"	0.0
"E01000141"	0.2
"E01000142"	0.0
"E01000143"	0.2
"E01000144"	0.0
"E01000145"	0.0
"E01000146"	0.0
"E01000147"	0.0
"E01000148"	0.0
"E01000150"	0.0
"E01000151"	0.2
"E01000152"	0.0
"E01000153"	0.0
"E01000154"	0.0
"E01000155"	0.0
"E01000156"	0.0
"E01000157"	0.3
"E01000158"	0.0
"E01000159"	0.0
"E01000160"	0.0
"E01000161"	0.3
"E01000162"	0.0
"E01000163"	0.0
"E01000164"	0.0
"E01000165"	0.0
"E01000166"	0.0
"E01000167"	0.0
"E01000168"	0.0
"E01000169"	0.0
"E01000170"	0.3
"E01000171"	0.0
"E01000172"	0.0
"E01000173"	0.0
"E01000174"	0.0
"E01000175"	0.0
"E01000176"	0.0
"E01000177"	0.0
