AREACD,No central heating,Mains gas only,Electric only,Oil only,Renewable energy only
E02007106,0.440459297,91.82495638,4.024550676,0.821818175,-0.184650445
E02002520,0.359095362,90.30852538,2.264823475,0.673769936,0.016456763
E02005892,0.197389107,86.35806441,1.824309049,null,0.279146783
E02001304,0.35756052,84.6392164,2.354834771,0.354620585,null
E02004650,1.493280143,84.71481198,4.874482893,null,null
E02007105,0.223339286,83.94840293,1.820650495,0.855724119,-0.268498241
E02005683,0.9019465,84.21952455,4.143860622,2.110570168,0.721112187
E02005730,0.968635437,83.56819522,4.399330384,2.479884803,0.872719907
E02002715,0.133957591,82.90170117,2.874503799,1.216993492,0.444426045
E02003255,0.283113294,82.62379891,3.532426095,0.269284454,0.595558102
E02004580,0.856804885,83.07595528,5.584473351,1.847268426,0.027618508
E02005204,0.719726157,82.36386666,3.168814647,0.178284045,null
E02006922,1.037088501,82.79005945,7.514284679,0.729835178,null
E02005029,0.713729149,82.61867561,9.205067128,null,null
E02002184,0.67432194,81.73500982,8.119993785,0.333179432,-0.133326921
E02006909,0.10601316,82.21415005,1.541172345,1.907990427,0.70766785
E02005444,1.000913353,82.20342592,7.519736984,0.639889422,-0.299484734
E02005236,1.621027287,80.67847656,4.342874791,0.417310201,null
E02006884,1.150512113,80.74121844,3.324065462,0.679498221,0.221083573
E02005215,2.103484258,80.55539133,3.183301747,null,null
E02003643,0.52416347,80.92776735,5.468150776,0.426623884,0.531964503
E02004681,0.508407138,80.34663096,7.659126899,0.123684778,-0.155432556
E02001520,0.894050211,79.03225186,1.980689376,0.411002147,0.076694968
E02007058,2.391034163,79.66090871,12.06433351,0.605750809,null
E02005813,1.457684926,79.57263845,10.29133682,1.760630629,-0.152003685
E02002610,0.315972092,78.23695626,3.71929231,1.028117455,-0.095274974
E02005358,0.355604628,78.08611876,2.944280259,null,null
W02000036,1.13063331,78.56328826,3.871889483,1.428617761,null
E02002749,0.967060603,78.69306137,2.876318597,0.600658056,-0.021527355
E02003747,0.815679449,78.38690036,6.905360117,1.254719419,0.443585346
E02006498,0.653149773,78.42766575,3.691847781,0.841809204,0.163113914
E02006906,0.736709896,78.20812897,2.832283594,-0.02219329,null
E02001521,1.110568765,77.16593769,8.48456917,null,0.243034169
E02005051,0.865682351,77.7332463,6.900004232,0.335830931,null
E02002201,1.156666564,77.06689571,5.940456987,null,null
E02005614,0.483452946,77.41460023,5.311580862,1.201117836,0.219321409
E02004233,1.989772382,76.9670007,7.792482526,2.632018154,0.887303681
E02005107,1.057777037,76.77256303,6.307151254,0.30925522,null
E02005151,0.903963632,77.30044476,3.066093194,0.653412147,null
E02001420,0.99750124,76.96133427,3.733246603,0.326813652,-0.009752613
E02004303,-0.101759759,77.14288151,2.893592026,0.453208125,null
E02006201,0.853138527,77.31069111,2.122310425,1.14078507,0.130999115
E02004066,0.927386174,76.44196506,5.069265712,null,0.146301455
E02006530,0.918667539,76.43620452,9.85003788,0.30905231,0.467152797
E02006270,1.118122397,76.6878761,7.8240008,2.895512625,0.753351911
E02006872,1.095004822,76.68339539,3.098941171,4.674468515,0.687960106
E02006871,0.962993233,75.90605954,4.893262315,0.0318505,null
W02000419,1.200105617,76.45110731,2.797691871,0.620178107,null
E02006982,0.998971438,76.15072488,2.061295631,2.622621075,-0.095515263
E02006018,0.894032179,75.74286563,5.500000014,1.943720493,0.147895624
E02003744,1.510517612,76.27998492,12.28624733,2.833060187,0.867309908
E02005491,0.720945789,75.69720578,7.296058567,1.47861846,null
E02002204,1.618038119,75.36577451,2.674042865,-0.21373157,null
E02007002,0.34608564,75.89984223,1.822239878,0.324604011,0.074767946
E02006903,0.751522229,75.171711,1.607895259,1.017862732,-0.141119918
W02000202,0.55949633,75.21145964,2.368989187,2.794175467,-0.048326199
E02005121,0.629133178,75.46049545,4.746535411,-0.088276631,0.590276858
E02004592,1.410191591,74.41819802,12.34780306,1.279816799,0.853670959
E02000756,1.836451746,74.24671233,5.939678417,null,null
E02005369,0.268610911,74.33050458,3.335708259,1.764194135,1.255121126
E02006150,0.6673214,74.57734179,5.475316886,0.793568413,null
E02006525,1.828883318,74.34667147,16.30245964,0.407231556,0.236829886
E02005470,0.572747275,74.2114813,8.755237342,0.852485567,null
E02005409,0.937659699,74.49545419,1.782595074,0.309546442,0.14079663
W02000072,0.39696142,74.42598988,2.326236308,1.66998559,0.652045949
E02001541,0.899057021,74.5892901,2.290243987,0.557812904,-0.284198924
E02004672,1.55114744,74.393671,6.958813593,0.659228774,0.250391084
E02005452,0.562127423,74.16639249,2.493124983,null,null
E02006893,0.263158758,73.81182142,2.657039009,null,null
E02005636,0.695415054,74.51810964,3.813569846,0.484347078,0.032846265
E02005899,1.50775115,73.77609769,9.032319452,0.251323698,null
E02003623,0.852083113,73.60211983,2.305178278,1.097595009,0.298998316
E02002241,2.242898681,74.36879414,3.292851866,null,null
E02002694,1.082866681,74.13845942,4.725012822,7.340416618,0.061087738
E02006512,1.028375653,74.24138059,12.44706828,1.482414729,-0.063607162
E02003734,0.821763803,73.39576613,5.761064714,1.518966259,0.231045514
E02003608,0.415806871,73.30542697,4.094090928,0.189823698,0.611996391
E02005645,1.198290434,73.60264266,13.40949537,-0.148905773,null
E02006614,0.329926632,73.26662622,4.800753075,2.896431795,-0.188838578
E02003450,0.449081042,72.81739953,5.52091787,0.052655324,null
E02003663,1.037531409,72.69762037,3.469245552,0.075418389,null
E02006604,1.992107418,73.22595007,19.02582761,0.658757798,0.371761165
E02002329,0.594306676,72.9249538,2.92753898,2.154890728,0.267545694
E02004223,1.788647166,72.60298529,7.39899508,3.873213083,0.466427245
E02001614,0.883548639,72.87140583,2.550326425,null,null
E02002461,0.616429246,72.96864702,2.66956484,0.670524004,null
E02002518,0.249922657,72.85232868,1.748771435,0.58265605,null
E02003236,0.717667756,72.33900693,5.165767505,1.974582491,-0.20583856
E02004611,0.20192253,73.1305774,3.499569503,0.920598545,null
E02002240,1.820146308,72.37093872,1.764086355,null,0.060275677
E02005028,0.6614286,72.69253838,7.925478297,null,0.11850231
E02006974,1.59919829,72.97443624,5.207157808,null,null
E02001721,1.136874765,72.05752864,3.519130396,null,null
E02002558,0.897576523,71.94581579,3.846948455,1.452140186,null
E02006190,1.010378473,72.67085014,6.019293198,0.047145272,null
E02003612,0.248937306,72.38468461,3.852397234,0.812673857,0.71372711
E02005373,0.615664348,72.28042885,2.590835212,1.517752306,-0.012360294
E02006529,1.29295569,72.37234181,14.3235886,0.777492338,null
W02000251,0.936837268,71.8805057,7.532332494,0.46380145,null
E02006660,1.493735839,71.92461869,8.837652341,6.278594878,0.483196295
E02001248,1.396223742,72.33604372,7.460269874,null,0.303828984
E02001307,0.755965864,71.59949824,0.626614837,0.265588677,null
E02005640,0.829855334,72.23960405,3.163847146,0.728625046,0.140998344
E02006869,0.980331285,71.98696825,2.00713058,null,0.216571923
E02000134,1.22697323,71.61352146,9.620647114,null,null
E02000156,0.950316395,71.69247452,5.090855968,null,null
E02004159,1.384048573,71.61933375,5.049786645,0.26531701,0.732525254
E02001604,0.175955979,71.82880638,1.835584539,null,-0.281519578
E02003110,0.006350423,71.70103677,4.136331519,0.498398998,null
E02005567,0.823799788,71.94683147,8.281570592,2.901310589,0.854377564
E02005886,0.362175071,71.87069815,1.342518849,null,0.202189256
E02006663,0.915182355,71.72969234,8.073866594,3.323323306,-0.21833419
W02000282,0.208651861,71.0562087,1.454163567,1.210562033,null
E02001425,0.741554192,71.58141551,1.57791599,null,null
E02002471,0.630659886,71.38763298,1.64475239,2.600822846,0.412474668
E02004717,1.166777437,71.04815738,7.373513662,null,-0.128508599
E02005586,1.564304948,71.13863496,5.486809581,0.468670906,null
E02003166,1.760043833,71.31721542,5.536615422,0.77401857,0.4019012
E02004119,0.140164223,71.01659219,3.727413195,1.166605858,0.286278129
E02004420,0.840237108,71.1011839,3.672141594,10.20658941,0.772106471
E02005129,1.182736564,71.63938674,6.269429933,0.328053818,null
E02005594,1.889197949,71.35109652,12.6294232,-0.170816168,0.571113821
E02006296,0.37955797,71.73114401,4.944934848,5.562456331,0.457026993
E02006811,0.070981842,71.5520147,2.281295402,-0.234117144,null
E02002684,0.641498636,71.51559812,2.399528628,2.263927454,0.561585212
E02003672,0.520008738,70.91309202,2.561861039,2.846083143,0.643040624
E02003883,0.2364764,70.69236222,3.960952002,0.482966498,null
E02005898,0.587957018,71.1205261,2.674319439,1.12011056,0.358708333
E02000786,1.127740306,70.54935325,4.536741637,null,0.19566989
E02002607,2.242342221,70.78762795,15.13756133,null,0.24344213
E02003027,1.656906221,70.55733875,7.451541479,null,null
E02004629,1.24502987,71.18344031,6.550675674,5.412957621,1.015096353
E02005338,1.050721926,70.900634,2.900707949,0.486354944,-0.285258664
E02001421,1.631847238,70.50821297,3.362603585,null,null
E02004674,1.09409564,70.65483765,6.66595959,1.392981343,0.518346627
E02005213,1.597335381,71.28935335,2.384851914,0.000905691,null
E02005704,1.10333291,70.39334791,4.178127137,9.237460309,0.416760148
E02004003,1.721089952,70.98449863,2.692278395,3.412301161,-0.186289602
E02004666,1.190489642,70.64003831,3.226751954,2.872884125,-0.001142676
E02001153,1.174732722,70.4638668,3.454384866,null,null
E02003856,1.643928077,71.05997631,8.643854919,0.485122956,0.639064045
E02002148,1.532933519,70.84263263,3.069590763,null,null
E02003870,1.954139313,70.02368761,11.00103467,0.151179888,0.061711457
E02004516,1.147640457,69.89438457,13.86008911,0.248159741,0.003486458
E02005481,1.674515465,69.89175409,12.59701303,0.899062863,0.503557016
E02001177,1.974877666,70.62697509,18.34411992,null,null
E02004340,1.068471199,70.23102963,2.661417284,0.401407156,null
E02005894,-0.039090151,69.75704431,2.863374257,1.504979901,-0.057292836
E02006451,0.92813309,70.08388537,5.262282518,0.276761887,-0.033269531
E02004193,0.69682051,69.60832207,5.260667201,1.353967796,0.544977791
E02005346,2.222288181,69.9771438,11.92668437,0.387441519,0.027592671
E02002606,2.168305601,69.98126184,13.48527347,null,null
E02003737,0.847871027,70.29839735,7.439889629,7.291932294,1.261032781
E02004595,0.552974046,70.14871533,6.391747693,12.30282024,0.604179809
E02006470,0.912181238,70.1153737,9.676749013,0.950445762,null
E02000764,1.71863139,69.82670603,13.41884536,null,null
E02001578,0.672635936,70.1115077,1.933364121,null,0.464179773
E02002702,1.038915185,69.75489973,8.398391432,0.859336998,0.376205872
E02005588,1.204223909,69.85360441,4.969373752,0.130834239,0.450855697
E02005731,0.09812505,69.98245762,2.65781282,0.991174124,0.195728137
E02005893,0.965890242,69.74384891,2.548780895,1.85863665,-0.223980069
E02004873,0.688894784,69.60293975,9.200239247,0.089641817,0.49368102
E02005453,0.689113847,69.26283467,2.675256283,1.918885105,0.029586756
E02007038,2.348852819,69.80523475,8.77605926,null,null
E02003688,0.501258171,69.96223255,4.680622384,0.425284064,0.424783534
E02004315,0.431929582,69.18742228,3.927211358,0.134052969,0.12248168
W02000427,0.313417152,69.75914106,1.486134637,2.695849081,null
E02006502,0.527489283,69.98924168,4.571754391,0.176266666,null
E02005160,1.227298174,69.56806932,12.21995428,0.325370671,0.921836615
E02001540,0.924715032,69.11352758,2.462275412,2.904504029,0.355448961
E02005212,1.519675612,69.73633061,3.070308976,0.178273094,null
E02005495,1.139613544,69.24807791,6.394414969,1.079028457,0.274030368
E02001409,0.454727408,69.35647832,2.169177668,null,null
E02006589,0.549476431,68.82566778,1.984581551,0.845576927,null
E02002109,0.89814263,68.94868176,7.017608031,1.818148532,null
E02003012,0.673349642,69.35726504,7.213813665,0.498199664,null
E02006186,0.686521277,68.73626184,3.147920681,3.326551648,0.008473117
E02006611,0.595799954,69.35545471,3.248644764,0.2062409,0.400108463
E02004910,0.841569656,69.4086506,8.413339108,0.729585787,0.410489548
E02002585,1.97107565,69.27877273,9.34876767,0.619841436,null
E02006233,1.500734346,69.02309742,12.25180594,2.193144594,0.375499232
E02003152,1.860256495,68.71915126,3.131081954,0.322511724,0.399334427
E02003291,1.697320143,69.02312168,9.19535567,null,0.513630625
E02004642,1.201891158,68.56272477,5.848988201,null,null
E02007082,0.882727603,69.31506906,4.423965226,null,null
E02004113,0.581601688,68.40110073,2.083927159,0.537084951,null
E02004470,1.500410061,68.47558702,18.06542872,0.075325385,null
E02005149,0.770585002,68.40634309,5.224804638,1.978601472,-0.055252261
E02005196,0.671205951,68.67413032,6.013057839,0.336387412,0.651797183
E02005445,1.878170794,69.1018129,7.83976117,-0.094867988,-0.083742366
E02001700,0.060063352,68.20476731,1.539225826,0.406480343,null
E02004720,1.263049859,68.55823007,8.134421759,0.297036187,-0.070147169
E02005123,0.931139182,68.79122418,4.057607515,1.817376866,0.384347132
E02005589,1.428668861,68.60989652,3.905351309,null,0.417833223
E02000227,1.405526143,68.38396377,6.666084227,null,null
E02001289,0.043942758,68.34094816,1.770232731,0.127420855,null
E02004422,0.64458612,68.54171704,4.095556445,1.363286669,null
E02001169,-0.041285804,68.43007182,2.290860583,0.497567238,null
E02003752,0.701336378,68.57230585,3.534195911,3.380820551,0.157302327
W02000250,0.226744726,68.01615658,2.304192347,2.400769307,0.313125673
E02005603,0.353001082,68.30303637,4.14877074,8.147662208,1.082410949
E02005812,0.623572821,68.77735001,2.851122598,2.398952601,0.318046152
E02006852,0.949013635,67.99537059,8.304705211,null,null
W02000339,0.64178949,68.73599096,5.443692631,3.277454109,0.335562527
E02003603,0.940261409,68.27745422,7.081558001,0.214591629,-0.170876308
E02003999,1.133351534,67.80334266,3.964370389,5.763764126,0.572933848
E02004656,1.539913356,68.54452918,11.23399227,1.160658259,0.136772667
E02006820,0.59832352,68.42198444,2.086026677,null,null
E02001613,0.763821403,68.04372144,1.981839189,null,null
E02006000,0.553849638,67.91608821,8.658901386,1.652259236,0.098691285
E02007003,1.441093948,68.20935435,3.065805451,0.13965611,null
E02007059,1.315996906,68.31818575,7.615817365,null,null
E02005701,0.41051892,67.59999579,4.832059127,1.386720951,0.380449798
E02005889,0.082176629,67.75209085,2.896499836,null,-0.053349764
E02006545,1.401507781,67.89128462,5.143182904,0.432636871,null
W02000361,0.724399764,67.48205924,3.110753846,1.068698851,null
E02004774,1.058302607,67.99045897,3.764452956,null,0.269313714
E02005456,0.6197801,68.36705561,2.088085753,2.225083523,0.326100726
E02005835,0.018868854,67.82494525,3.093261095,2.233898758,0.405321209
