AREACD,AREANM,High Technology Manufacturing,High Technology Services,Knowledge Intensive Financial Services,Knowledge Intensive Market Services,Less Knowledge Intensive Market Services,Low Technology Manufacturing,Medium Technology Manufacturing,Non-manufacturing Production,Other,Other Knowledge Intensive Services
E30000004,Barnsley TTWA,0.00185627,0.032012156,0.016711449,0.073059225,0.379378445,0.060962082,0.069193189,0.005700639,0.090493137,0.270633407
E30000018,Bradford TTWA,0.007257676,0.018464497,0.031772034,0.082556801,0.306949122,0.071289258,0.065355697,0.016535825,0.067667367,0.332151723
E30000029,Halifax TTWA,0.004092116,0.022002157,0.073333395,0.119428068,0.312195283,0.04586724,0.091094487,0.005174493,0.076653947,0.250158813
E30000039,Skipton TTWA,0.016831227,0.014519714,0.067549317,0.134066902,0.392351639,0.031892112,0.041204804,0.007464308,0.095249113,0.198870863
E30000046,Dorchester and Weymouth TTWA,0.007299384,0.020499485,0.006814104,0.115428705,0.317303881,0.016838942,0.0476784,0.017543889,0.073165367,0.377427844
E30000051,Falmouth TTWA,0.00225932,0.014980774,0.007687424,0.093119112,0.442374518,0.021621801,0.077038102,0.01004274,0.085534394,0.245341815
E30000054,Grantham TTWA,0.002601408,0.013289354,0.010954992,0.096765187,0.371171704,0.056488692,0.045302015,0.027999486,0.066978217,0.308448945
E30000061,Hastings TTWA,0.017656953,0.015101114,0.04360342,0.066881151,0.362898998,0.021071903,0.032077971,0.006296741,0.076652897,0.357758851
E30000064,Hexham TTWA,,0.015687398,0.007071692,0.069864453,0.407611282,0.063026378,0.035924665,0.05652538,0.07162814,0.271166421
E30000070,Isle of Wight TTWA,0.012398632,0.014591453,0.007671611,0.071130649,0.41020295,0.015494117,0.060707565,0.02091113,0.061765125,0.325126767
E30000076,Lancaster and Morecambe TTWA,0.002148964,0.021377683,0.018183608,0.100545497,0.334159469,0.018928719,0.028518818,0.0301647,0.063502602,0.382469941
E30000093,Middlesbrough and Stockton TTWA,0.001424588,0.024785566,0.019430901,0.098534491,0.328127308,0.027571155,0.066331642,0.013675969,0.077127809,0.34299057
E30000095,Minehead TTWA,0.003654575,0.007495855,0.003759663,0.041788509,0.534671636,0.019578155,0.017637334,0.012947631,0.085901434,0.272565208
E30000106,Penrith TTWA,0.000521877,0.006882047,0.010405666,0.059213674,0.48552757,0.066853112,0.019570203,0.023799227,0.081071967,0.246154657
E30000108,Peterborough TTWA,0.002027115,0.033599216,0.035036778,0.130287573,0.376181817,0.030961286,0.05466407,0.013145849,0.062983658,0.261112637
E30000110,Poole TTWA,0.006434352,0.022415711,0.025049891,0.107914469,0.337338203,0.02295463,0.09285282,0.012325534,0.096316129,0.27639826
E30000124,Spalding TTWA,,0.005702997,0.007111908,0.15764877,0.412118737,0.187682224,0.017205523,0.012272683,0.055837475,0.144273268
E30000135,Thetford and Mildenhall TTWA,0.01286596,0.010924087,0.005200968,0.076259214,0.372107551,0.134822515,0.069966209,0.020110523,0.083607191,0.214135782
E30000147,Whitby TTWA,0.000850554,0.008271086,0.005352268,0.029978935,0.486732214,0.036374669,0.02016013,0.008119958,0.142578908,0.261581278
E30000159,Andover TTWA,0.013502111,0.021569313,0.053138673,0.071764983,0.384967218,0.049781935,0.075248241,0.009324585,0.067100298,0.253602644
