AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11
Hartlepool,E06000001,12.76272,19.788,12.5976,10.85712,11.0886,15.3444,22.26612,19.97232,12.95988,-5.11872,-14.30124
Middlesbrough,E06000002,8.01804,9.97716,14.11632,11.38356,10.80348,7.76316,11.367,11.5416,4.79676,-1.75452,-10.35468
Redcar and Cleveland,E06000003,8.63904,19.34208,21.82728,17.86044,16.11204,15.64788,13.44252,7.28196,2.23512,-4.85292,-7.93836
Stockton-on-Tees,E06000004,5.6112,9.34956,6.26208,10.58592,12.23808,22.06728,18.67776,13.2678,4.1778,-0.92844,-3.39072
Darlington,E06000005,5.65884,18.7338,13.99548,17.52828,10.14084,17.27592,21.5982,12.64692,2.91084,-7.63848,-1.04784
Halton,E06000006,5.67036,5.65428,5.40528,11.32464,14.68128,17.82624,20.48016,16.91964,9.2952,5.20692,2.69232
Warrington,E06000007,5.43288,5.90028,9.273,15.54456,18.43056,15.72456,7.98432,5.4756,6.57132,5.21952,8.01744
Blackburn with Darwen,E06000008,4.13412,4.39584,1.97772,5.18484,11.18556,12.684,19.31112,16.99308,12.3216,0.5682,-6.76104
Blackpool,E06000009,16.00248,3.93228,4.75272,4.51176,6.42084,1.62552,2.54256,6.79056,10.92192,3.99552,-0.59808
"Kingston upon Hull, City of",E06000010,10.34592,4.64172,5.69652,4.22592,9.76284,13.1478,19.46196,12.88368,8.77956,-0.2556,-2.55792
East Riding of Yorkshire,E06000011,9.09576,12.59412,12.1434,12.43572,5.93244,8.53608,5.97288,12.16836,10.57428,9.10404,2.17356
North East Lincolnshire,E06000012,14.78124,10.48656,5.92908,0.61272,6.38856,20.8896,23.19564,16.7358,3.42336,1.01652,-1.15632
North Lincolnshire,E06000013,15.61164,14.22768,12.3348,8.50152,8.6202,14.22816,8.91624,2.59536,-2.3622,5.45256,11.11284
York,E06000014,11.40612,12.35832,20.58012,16.25448,12.5802,3.04572,3.846,-0.18336,9.94968,9.01752,12.61032
Derby ,E06000015,8.86068,8.21148,5.50332,5.02572,8.2212,14.92056,17.53872,12.4338,1.18332,-5.364,-2.63244
Leicester,E06000016,14.8854,12.02748,11.74548,1.57092,1.467,5.31288,15.91788,17.7546,13.75152,2.15868,0.7482
Rutland ,E06000017,14.46564,4.63416,2.78712,-4.93596,9.48684,22.98744,9.36,3.4506,-2.78112,11.79516,13.04664
Nottingham,E06000018,17.5686,16.51044,19.57524,11.09016,14.12088,11.55504,18.24972,13.29948,11.0622,-0.80904,-0.23604
"Herefordshire, County of",E06000019,6.7206,7.31328,10.27068,13.98468,12.92736,11.88876,8.95404,11.4576,14.15424,9.83136,0.86496
Telford and Wrekin,E06000020,12.94788,5.94108,9.20076,3.55872,5.47284,2.17884,7.68624,10.49784,14.65932,6.8508,6.00528
Stoke-on-Trent,E06000021,14.02116,20.928,19.91388,10.95804,14.17176,12.74796,13.992,4.365,1.13856,-1.66764,-0.48444
Bath and North East Somerset,E06000022,15.70284,14.12484,12.168,5.80776,3.66924,2.33496,8.72892,11.11752,15.16932,6.41628,-0.10572
"Bristol, City of",E06000023,19.1172,12.51696,5.08692,1.85952,5.31132,14.079,14.47368,10.29888,4.43388,2.34192,7.00224
North Somerset,E06000024,17.1828,15.01008,7.58292,2.74092,-0.35592,5.331,6.81252,13.50444,11.27508,10.51956,-1.63992
South Gloucestershire,E06000025,7.7502,3.8796,6.49368,11.14464,12.1428,9.44856,7.84128,8.92788,11.06112,4.47732,3.45372
Plymouth,E06000026,9.10368,10.65912,14.16576,9.65532,11.03064,8.26644,11.32848,5.45376,6.1224,4.58868,9.94824
Torbay,E06000027,4.76712,8.89152,16.85892,9.95796,8.52408,5.99004,17.12292,15.10332,9.47052,-1.81872,-4.04832
Bournemouth,E06000028,22.19076,17.39904,12.0096,5.02836,3.80604,3.64284,1.82232,4.73952,3.54192,7.10376,3.83784
Poole,E06000029,1.34148,11.98752,11.23152,13.40064,5.57856,11.02488,8.30304,9.07236,6.99768,7.74984,7.93524
Swindon,E06000030,12.79584,5.77164,4.23804,9.72492,10.55808,15.19764,10.3296,8.601,4.75008,5.52708,8.553
Peterborough,E06000031,17.4984,7.37184,8.46492,5.5848,13.99896,7.3542,7.71564,4.38096,10.48452,9.33288,6.95808
Luton,E06000032,8.79948,10.25784,9.561,10.95024,9.5454,16.80744,12.39204,13.90776,5.30664,11.26308,2.86596
Southend-on-Sea,E06000033,21.08712,10.4994,11.44248,4.34256,11.33556,10.59468,22.6098,18.11616,10.60728,-13.13844,-13.38924
Thurrock,E06000034,23.16792,18.23784,10.4352,4.0902,4.91064,11.01504,13.28352,10.30788,7.06092,-1.02912,0.59952
Medway,E06000035,11.1606,8.21796,4.9266,12.0096,14.26704,17.10336,13.7106,12.19368,5.78388,-0.5922,-3.1248
Bracknell Forest,E06000036,15.06648,9.4392,14.72616,10.40208,9.27744,9.28152,15.2754,19.08876,13.17108,8.40672,7.83396
West Berkshire,E06000037,12.79368,10.70796,13.82892,13.24872,13.08288,11.53968,8.30364,3.22368,4.51464,4.40028,6.29496
