AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11
Hartlepool,E06000001,15.3444,22.26612,19.97232,12.95988,-5.11872,-14.30124,22.26612,19.97232,12.95988,-5.11872,-14.30124
Middlesbrough,E06000002,7.76316,11.367,11.5416,4.79676,-1.75452,-10.35468,11.367,11.5416,4.79676,-1.75452,-10.35468
Redcar and Cleveland,E06000003,15.64788,13.44252,7.28196,2.23512,-4.85292,-7.93836,13.44252,7.28196,2.23512,-4.85292,-7.93836
Stockton-on-Tees,E06000004,22.06728,18.67776,13.2678,4.1778,-0.92844,-3.39072,18.67776,13.2678,4.1778,-0.92844,-3.39072
Darlington,E06000005,17.27592,21.5982,12.64692,2.91084,-7.63848,-1.04784,21.5982,12.64692,2.91084,-7.63848,-1.04784
Halton,E06000006,17.82624,20.48016,16.91964,9.2952,5.20692,2.69232,20.48016,16.91964,9.2952,5.20692,2.69232
Warrington,E06000007,15.72456,7.98432,5.4756,6.57132,5.21952,8.01744,7.98432,5.4756,6.57132,5.21952,8.01744
Blackburn with Darwen,E06000008,12.684,19.31112,16.99308,12.3216,0.5682,-6.76104,19.31112,16.99308,12.3216,0.5682,-6.76104
Blackpool,E06000009,1.62552,2.54256,6.79056,10.92192,3.99552,-0.59808,2.54256,6.79056,10.92192,3.99552,-0.59808
"Kingston upon Hull, City of",E06000010,13.1478,19.46196,12.88368,8.77956,-0.2556,-2.55792,19.46196,12.88368,8.77956,-0.2556,-2.55792
East Riding of Yorkshire,E06000011,8.53608,5.97288,12.16836,10.57428,9.10404,2.17356,5.97288,12.16836,10.57428,9.10404,2.17356
North East Lincolnshire,E06000012,20.8896,23.19564,16.7358,3.42336,1.01652,-1.15632,23.19564,16.7358,3.42336,1.01652,-1.15632
North Lincolnshire,E06000013,14.22816,8.91624,2.59536,-2.3622,5.45256,11.11284,8.91624,2.59536,-2.3622,5.45256,11.11284
York,E06000014,3.04572,3.846,-0.18336,9.94968,9.01752,12.61032,3.846,-0.18336,9.94968,9.01752,12.61032
Derby ,E06000015,14.92056,17.53872,12.4338,1.18332,-5.364,-2.63244,17.53872,12.4338,1.18332,-5.364,-2.63244
Leicester,E06000016,5.31288,15.91788,17.7546,13.75152,2.15868,0.7482,15.91788,17.7546,13.75152,2.15868,0.7482
Rutland ,E06000017,22.98744,9.36,3.4506,-2.78112,11.79516,13.04664,9.36,3.4506,-2.78112,11.79516,13.04664
Nottingham,E06000018,11.55504,18.24972,13.29948,11.0622,-0.80904,-0.23604,18.24972,13.29948,11.0622,-0.80904,-0.23604
"Herefordshire, County of",E06000019,11.88876,8.95404,11.4576,14.15424,9.83136,0.86496,8.95404,11.4576,14.15424,9.83136,0.86496
Telford and Wrekin,E06000020,2.17884,7.68624,10.49784,14.65932,6.8508,6.00528,7.68624,10.49784,14.65932,6.8508,6.00528
Stoke-on-Trent,E06000021,12.74796,13.992,4.365,1.13856,-1.66764,-0.48444,13.992,4.365,1.13856,-1.66764,-0.48444
Bath and North East Somerset,E06000022,2.33496,8.72892,11.11752,15.16932,6.41628,-0.10572,8.72892,11.11752,15.16932,6.41628,-0.10572
"Bristol, City of",E06000023,14.079,14.47368,10.29888,4.43388,2.34192,7.00224,14.47368,10.29888,4.43388,2.34192,7.00224
North Somerset,E06000024,5.331,6.81252,13.50444,11.27508,10.51956,-1.63992,6.81252,13.50444,11.27508,10.51956,-1.63992
South Gloucestershire,E06000025,9.44856,7.84128,8.92788,11.06112,4.47732,3.45372,7.84128,8.92788,11.06112,4.47732,3.45372
Plymouth,E06000026,8.26644,11.32848,5.45376,6.1224,4.58868,9.94824,11.32848,5.45376,6.1224,4.58868,9.94824
Torbay,E06000027,5.99004,17.12292,15.10332,9.47052,-1.81872,-4.04832,17.12292,15.10332,9.47052,-1.81872,-4.04832
Bournemouth,E06000028,3.64284,1.82232,4.73952,3.54192,7.10376,3.83784,1.82232,4.73952,3.54192,7.10376,3.83784
Poole,E06000029,11.02488,8.30304,9.07236,6.99768,7.74984,7.93524,8.30304,9.07236,6.99768,7.74984,7.93524
Swindon,E06000030,15.19764,10.3296,8.601,4.75008,5.52708,8.553,10.3296,8.601,4.75008,5.52708,8.553
Peterborough,E06000031,7.3542,7.71564,4.38096,10.48452,9.33288,6.95808,7.71564,4.38096,10.48452,9.33288,6.95808
Luton,E06000032,16.80744,12.39204,13.90776,5.30664,11.26308,2.86596,12.39204,13.90776,5.30664,11.26308,2.86596
Southend-on-Sea,E06000033,10.59468,22.6098,18.11616,10.60728,-13.13844,-13.38924,22.6098,18.11616,10.60728,-13.13844,-13.38924
Thurrock,E06000034,11.01504,13.28352,10.30788,7.06092,-1.02912,0.59952,13.28352,10.30788,7.06092,-1.02912,0.59952
Medway,E06000035,17.10336,13.7106,12.19368,5.78388,-0.5922,-3.1248,13.7106,12.19368,5.78388,-0.5922,-3.1248
Bracknell Forest,E06000036,9.28152,15.2754,19.08876,13.17108,8.40672,7.83396,15.2754,19.08876,13.17108,8.40672,7.83396
West Berkshire,E06000037,11.53968,8.30364,3.22368,4.51464,4.40028,6.29496,8.30364,3.22368,4.51464,4.40028,6.29496
Reading,E06000038,8.49204,11.99292,3.74316,2.25648,4.9848,11.02884,11.99292,3.74316,2.25648,4.9848,11.02884
Slough,E06000039,15.1182,13.57452,4.71444,6.08316,0.05316,-1.61652,13.57452,4.71444,6.08316,0.05316,-1.61652
Windsor and Maidenhead,E06000040,13.22052,15.55404,7.4592,2.73192,3.36408,11.74548,15.55404,7.4592,2.73192,3.36408,11.74548
Wokingham,E06000041,6.55908,3.61632,6.59088,4.64448,1.8756,-0.46284,3.61632,6.59088,4.64448,1.8756,-0.46284
Milton Keynes,E06000042,5.58708,11.66352,15.46068,9.2538,5.58036,1.0098,11.66352,15.46068,9.2538,5.58036,1.0098
Brighton and Hove,E06000043,22.5186,17.58036,11.96244,6.0972,8.47692,9.91692,17.58036,11.96244,6.0972,8.47692,9.91692
Portsmouth,E06000044,13.37448,11.63196,8.46228,6.42636,-4.41936,-2.96388,11.63196,8.46228,6.42636,-4.41936,-2.96388
Southampton,E06000045,16.68096,5.41092,-0.14808,-5.46408,-1.8432,5.1306,5.41092,-0.14808,-5.46408,-1.8432,5.1306
Isle of Wight,E06000046,9.40416,13.74,18.9486,5.17824,-3.21168,-9.40584,13.74,18.9486,5.17824,-3.21168,-9.40584
County Durham,E06000047,8.42628,12.10584,11.78532,7.07196,2.76696,1.24452,12.10584,11.78532,7.07196,2.76696,1.24452
Cheshire East,E06000049,16.1694,16.11684,10.53552,3.36192,-0.67764,-0.16308,16.11684,10.53552,3.36192,-0.67764,-0.16308
Cheshire West and Chester,E06000050,14.6718,5.36244,2.37492,2.45712,7.30908,6.80604,5.36244,2.37492,2.45712,7.30908,6.80604
Shropshire,E06000051,10.49136,11.02476,12.79308,7.4844,6.30552,6.52944,11.02476,12.79308,7.4844,6.30552,6.52944
Cornwall,E06000052,9.38016,11.95416,5.37828,3.15852,2.59488,3.56748,11.95416,5.37828,3.15852,2.59488,3.56748
Wiltshire,E06000054,8.9346,9.59508,11.8356,8.6172,6.31512,5.55804,9.59508,11.8356,8.6172,6.31512,5.55804
Bedford,E06000055,4.7076,10.26588,15.951,17.14164,8.69016,5.7084,10.26588,15.951,17.14164,8.69016,5.7084
Central Bedfordshire,E06000056,11.33448,13.85748,17.22444,16.80048,17.16732,8.1846,13.85748,17.22444,16.80048,17.16732,8.1846
Northumberland,E06000057,9.19992,4.30236,6.82632,8.13468,6.19224,0.77664,4.30236,6.82632,8.13468,6.19224,0.77664
Aylesbury Vale,E07000004,-3.08676,-0.84,3.51744,10.8996,10.91472,14.60772,-0.84,3.51744,10.8996,10.91472,14.60772
Chiltern,E07000005,12.89904,14.27268,13.40724,6.06264,4.4136,10.43208,14.27268,13.40724,6.06264,4.4136,10.43208
South Bucks,E07000006,2.10888,-0.80484,4.55088,2.265,2.69988,0.42108,-0.80484,4.55088,2.265,2.69988,0.42108
Wycombe,E07000007,7.44996,13.5288,14.71572,15.53856,10.7892,7.70256,13.5288,14.71572,15.53856,10.7892,7.70256
Cambridge,E07000008,23.90892,14.49576,10.75944,-1.90704,6.11364,7.97424,14.49576,10.75944,-1.90704,6.11364,7.97424
East Cambridgeshire,E07000009,9.01608,13.2744,11.55468,14.49552,2.91144,-1.38156,13.2744,11.55468,14.49552,2.91144,-1.38156
Fenland,E07000010,10.13388,20.35872,22.56228,14.289,-3.49284,-10.50156,20.35872,22.56228,14.289,-3.49284,-10.50156
Huntingdonshire,E07000011,18.71112,14.20764,6.3042,6.30744,2.79924,6.279,14.20764,6.3042,6.30744,2.79924,6.279
South Cambridgeshire,E07000012,9.23244,15.16848,19.42464,7.13436,-6.35424,-5.23392,15.16848,19.42464,7.13436,-6.35424,-5.23392
Allerdale,E07000026,6.59136,2.7054,12.2832,8.15748,9.5514,-2.38092,2.7054,12.2832,8.15748,9.5514,-2.38092
Barrow-in-Furness,E07000027,13.81452,2.63988,-6.07464,-2.745,-1.24104,0.63588,2.63988,-6.07464,-2.745,-1.24104,0.63588
Carlisle,E07000028,11.24352,14.63052,17.60064,9.42552,8.11236,0.14736,14.63052,17.60064,9.42552,8.11236,0.14736
Copeland,E07000029,9.17988,-0.11448,-1.72488,1.96404,9.89928,6.17904,-0.11448,-1.72488,1.96404,9.89928,6.17904
Eden,E07000030,14.21004,9.3804,6.70272,7.33944,7.21992,5.02392,9.3804,6.70272,7.33944,7.21992,5.02392
South Lakeland,E07000031,10.06188,17.75856,14.76204,4.74804,-0.62508,9.66348,17.75856,14.76204,4.74804,-0.62508,9.66348
Amber Valley,E07000032,7.16592,12.34992,9.4332,11.751,0.68376,4.85184,12.34992,9.4332,11.751,0.68376,4.85184
Bolsover,E07000033,16.31064,15.67344,11.93448,0.85992,-5.35044,-6.08124,15.67344,11.93448,0.85992,-5.35044,-6.08124
Chesterfield,E07000034,-1.75548,6.05664,13.89768,15.76728,4.67988,-3.76104,6.05664,13.89768,15.76728,4.67988,-3.76104
Derbyshire Dales,E07000035,18.53484,12.0276,2.5998,6.41232,1.47636,-5.11488,12.0276,2.5998,6.41232,1.47636,-5.11488
Erewash,E07000036,30.17496,15.36384,11.21268,-1.70052,-2.2902,-1.66788,15.36384,11.21268,-1.70052,-2.2902,-1.66788
High Peak,E07000037,16.35996,21.83244,10.53672,-0.26364,-6.2118,-5.64288,21.83244,10.53672,-0.26364,-6.2118,-5.64288
North East Derbyshire,E07000038,14.4078,11.52936,5.27472,10.37808,4.76124,-0.2502,11.52936,5.27472,10.37808,4.76124,-0.2502
South Derbyshire,E07000039,16.25796,17.4852,12.04248,1.92528,-2.63808,-8.79444,17.4852,12.04248,1.92528,-2.63808,-8.79444
East Devon,E07000040,7.37208,11.994,1.7448,1.25484,-1.40604,6.09396,11.994,1.7448,1.25484,-1.40604,6.09396
Exeter,E07000041,8.24616,14.99436,9.99,1.65744,-10.08972,-12.70152,14.99436,9.99,1.65744,-10.08972,-12.70152
Mid Devon,E07000042,-0.94812,0.20388,3.66864,19.2234,11.79996,0.36684,0.20388,3.66864,19.2234,11.79996,0.36684
North Devon,E07000043,21.07884,19.9044,12.29472,3.68148,0.56952,-0.23268,19.9044,12.29472,3.68148,0.56952,-0.23268
South Hams,E07000044,22.31904,15.81492,8.34996,-0.29592,-3.78864,8.62392,15.81492,8.34996,-0.29592,-3.78864,8.62392
Teignbridge,E07000045,7.32624,3.99576,0.3072,-1.5126,3.20304,2.76648,3.99576,0.3072,-1.5126,3.20304,2.76648
Torridge,E07000046,14.79324,6.42924,3.91932,-2.67804,-7.1268,-14.96712,6.42924,3.91932,-2.67804,-7.1268,-14.96712
West Devon,E07000047,13.19412,9.01044,-4.94484,-7.25028,3.26304,14.66676,9.01044,-4.94484,-7.25028,3.26304,14.66676
Christchurch,E07000048,15.33036,13.94616,14.53728,13.02708,-2.62344,-9.18252,13.94616,14.53728,13.02708,-2.62344,-9.18252
East Dorset,E07000049,18.81,16.74528,8.87604,-1.68708,2.30208,5.39556,16.74528,8.87604,-1.68708,2.30208,5.39556
North Dorset,E07000050,11.55708,-0.23052,-5.2626,0.61548,6.92688,9.39072,-0.23052,-5.2626,0.61548,6.92688,9.39072
Purbeck,E07000051,1.58592,1.03056,2.08056,15.282,12.61572,5.86356,1.03056,2.08056,15.282,12.61572,5.86356
West Dorset,E07000052,6.39684,16.67388,14.916,11.86776,5.28216,-4.49784,16.67388,14.916,11.86776,5.28216,-4.49784
Weymouth and Portland,E07000053,6.86304,2.28132,12.47088,-0.55776,1.36908,-1.33308,2.28132,12.47088,-0.55776,1.36908,-1.33308
Eastbourne,E07000061,-1.30188,0.879,18.86652,18.77892,17.7408,2.77512,0.879,18.86652,18.77892,17.7408,2.77512
Hastings,E07000062,4.53972,10.43256,2.44044,15.19788,-1.88472,-6.05916,10.43256,2.44044,15.19788,-1.88472,-6.05916
Lewes,E07000063,4.11432,4.13376,-0.32808,5.313,2.04204,12.24324,4.13376,-0.32808,5.313,2.04204,12.24324
Rother,E07000064,4.6818,6.10452,2.64468,1.29408,-4.08924,6.48876,6.10452,2.64468,1.29408,-4.08924,6.48876
Wealden,E07000065,1.83876,1.82028,10.90116,10.4544,8.39268,6.54816,1.82028,10.90116,10.4544,8.39268,6.54816
Basildon,E07000066,15.59292,6.70884,11.61516,2.81916,2.09844,-0.33588,6.70884,11.61516,2.81916,2.09844,-0.33588
Braintree,E07000067,11.66772,0.30204,6.70476,1.37928,10.87212,5.0088,0.30204,6.70476,1.37928,10.87212,5.0088
Brentwood,E07000068,25.0614,7.36224,6.43176,-5.34888,0.44304,-5.4018,7.36224,6.43176,-5.34888,0.44304,-5.4018
Castle Point,E07000069,5.0082,4.64184,3.63756,-1.42728,-2.68404,-0.46428,4.64184,3.63756,-1.42728,-2.68404,-0.46428
Chelmsford,E07000070,7.69164,6.05736,7.75752,9.03408,9.51,2.6034,6.05736,7.75752,9.03408,9.51,2.6034
Colchester,E07000071,15.34272,6.87036,4.42284,2.25156,4.94268,1.82244,6.87036,4.42284,2.25156,4.94268,1.82244
Epping Forest,E07000072,13.67448,8.37804,12.68196,2.40204,2.87712,-4.36896,8.37804,12.68196,2.40204,2.87712,-4.36896
Harlow,E07000073,1.74564,4.04712,5.43948,8.66856,6.62652,0.28752,4.04712,5.43948,8.66856,6.62652,0.28752
Maldon,E07000074,15.90924,18.88668,17.0418,17.48964,4.68624,-8.29968,18.88668,17.0418,17.48964,4.68624,-8.29968
Rochford,E07000075,13.24164,9.33396,9.99408,5.05356,-1.11804,2.8158,9.33396,9.99408,5.05356,-1.11804,2.8158
Tendring,E07000076,4.98528,-5.05296,-3.73884,7.16568,5.4942,2.69772,-5.05296,-3.73884,7.16568,5.4942,2.69772
Uttlesford,E07000077,16.76568,12.04536,13.2588,14.54868,3.8922,-5.87484,12.04536,13.2588,14.54868,3.8922,-5.87484
Cheltenham,E07000078,14.94204,8.82,4.0716,1.65996,2.20776,-0.3912,8.82,4.0716,1.65996,2.20776,-0.3912
Cotswold,E07000079,5.1468,12.81372,6.4476,1.66476,0.53508,4.61628,12.81372,6.4476,1.66476,0.53508,4.61628
Forest of Dean,E07000080,18.2328,12.6726,1.9002,5.06796,7.0974,14.17344,12.6726,1.9002,5.06796,7.0974,14.17344
Gloucester,E07000081,-0.789,4.91232,6.92688,16.40424,9.0228,-3.95448,4.91232,6.92688,16.40424,9.0228,-3.95448
Stroud,E07000082,15.15948,17.43576,4.2486,-2.04132,-4.6002,-0.69072,17.43576,4.2486,-2.04132,-4.6002,-0.69072
Tewkesbury,E07000083,6.92232,7.54824,8.65344,9.27528,7.16808,8.11572,7.54824,8.65344,9.27528,7.16808,8.11572
