areacd,value,value2
E02000001,7,0.67857926
E02000002,4,0.05870932
E02000003,10,1.252918039
E02000004,5,1.718285296
E02000005,5,1.148015022
E02000007,2,2.861266637
E02000008,1,0.75861043
E02000009,10,2.758138765
E02000010,6,2.101313911
E02000011,2,1.478233259
E02000012,6,0.015204979
E02000013,11,2.872615827
E02000014,1,2.65724083
E02000015,2,1.331233163
E02000016,12,0.702884896
E02000017,5,0.477296389
E02000018,11,0.811381146
E02000019,7,0.486435718
E02000020,10,0.325275409
E02000021,13,0.540487032
E02000022,10,2.841859675
E02000023,3,2.437572265
E02000024,1,1.774715172
E02000025,3,0.112909107
E02000026,3,1.686146161
E02000027,9,2.724445928
E02000028,12,0.361527791
E02000029,7,0.416609716
E02000030,1,1.390213867
E02000031,10,1.930218332
E02000032,4,0.070183943
E02000033,9,2.384077237
E02000034,6,2.73178712
E02000035,13,2.525017151
E02000036,10,0.015882928
E02000037,6,1.639648733
E02000038,1,2.481717941
E02000039,7,2.509263364
E02000040,1,2.754172027
E02000041,3,1.177040451
E02000042,3,2.489785671
E02000043,1,1.328512772
E02000044,6,1.036760312
E02000045,6,0.554416959
E02000046,1,0.938874168
E02000047,2,1.136175961
E02000048,6,2.652478121
E02000049,3,0.749581785
E02000050,5,2.868237023
E02000051,2,0.354135019
E02000052,13,1.643048797
E02000054,13,2.99069628
E02000055,3,0.341737089
E02000056,3,1.203543179
E02000057,4,1.407072301
E02000058,9,2.73786967
E02000059,11,0.423677073
E02000060,5,2.215691325
E02000061,12,0.694115691
E02000062,13,2.497396848
E02000063,3,0.529303748
E02000065,2,2.778233201
E02000066,8,0.507303208
E02000067,1,2.695446899
E02000068,12,0.223477063
E02000069,11,1.404872771
E02000070,11,0.59023894
E02000071,5,2.568475998
E02000073,9,2.827996236
E02000074,11,1.244086803
E02000075,9,2.070594563
E02000077,1,2.986328103
E02000078,11,2.377102059
E02000079,6,0.752227525
E02000081,2,0.057735588
E02000082,2,1.232991642
E02000083,7,2.726777639
E02000084,8,0.330320346
E02000085,7,1.903828001
E02000086,5,1.775868282
E02000087,5,0.070252753
E02000088,7,0.141797341
E02000089,8,1.308379003
E02000090,4,0.504310115
E02000091,4,0.035162114
E02000092,6,0.311690428
E02000093,3,0.44908819
E02000094,6,0.765935748
E02000095,10,1.555643067
E02000096,12,1.401130962
E02000097,9,1.549355468
E02000098,5,2.881495753
E02000099,10,0.678375812
E02000100,8,1.597570781
E02000101,11,1.24089228
E02000102,3,1.789070227
E02000103,4,2.62989168
E02000104,6,2.905062152
E02000105,13,2.653195496
E02000106,7,0.742562878
E02000107,7,1.679310405
E02000108,11,2.440438624
E02000109,4,1.914745751
E02000110,10,0.45142181
E02000111,9,1.263954088
E02000112,10,1.212025883
E02000113,6,0.320264227
E02000114,13,2.688431675
E02000115,13,1.481507571
E02000116,4,1.872495183
E02000117,7,1.073596074
E02000118,3,0.554325039
E02000119,8,1.160650601
E02000120,4,0.384828756
E02000121,4,0.286063429
E02000122,12,1.251112838
E02000123,7,0.852629671
E02000124,6,2.235296089
E02000125,8,1.936963331
E02000127,12,2.578029412
E02000128,3,2.848651485
E02000131,6,0.011966017
E02000132,2,1.330888254
E02000133,10,0.687192471
E02000134,3,2.828086224
E02000135,11,1.995256971
E02000136,4,1.130218714
E02000137,2,0.413245409
E02000138,13,2.324695097
E02000139,11,0.654739791
E02000140,13,1.740466279
E02000141,12,2.321617755
E02000142,1,2.960906279
E02000144,6,1.159610933
E02000145,13,1.900922698
E02000146,2,0.580244651
E02000147,12,2.29929302
E02000148,3,2.645960924
E02000149,6,0.154415732
E02000150,4,0.415549588
E02000151,4,0.682204585
E02000152,3,0.435846416
E02000153,11,1.924661538
E02000155,2,0.50512864
E02000156,13,0.790085119
E02000157,8,2.328122641
E02000158,1,0.518713799
E02000159,13,2.495181384
E02000160,6,0.967843358
E02000161,11,2.00378338
E02000162,8,2.22835419
E02000163,10,0.739910072
E02000165,13,1.756653864
E02000166,12,2.116687561
E02000169,6,2.373384999
E02000174,2,1.198384087
E02000175,10,1.450850202
E02000177,7,2.94574104
E02000183,3,2.197427332
E02000184,5,1.503939027
E02000185,3,1.788271809
E02000186,9,2.595590547
E02000187,13,2.85085303
E02000188,11,2.09948073
E02000193,6,0.327123766
E02000194,12,2.989356344
E02000195,2,2.125713628
E02000196,9,2.479540814
E02000197,1,2.318986915
E02000198,4,0.129465393
E02000199,8,0.535755477
E02000200,12,0.614325575
E02000201,2,0.960067735
E02000202,11,2.175878538
E02000203,4,1.248163557
E02000204,6,0.714678514
E02000206,9,2.484046118
E02000207,3,2.913655546
E02000208,11,0.208205548
E02000209,1,1.494342066
E02000210,1,0.761855736
E02000211,6,0.895853545
E02000212,9,0.936457381
E02000213,7,0.089670154
E02000214,6,2.770914983
E02000215,2,2.905316772
E02000216,9,1.316289754
E02000217,2,1.290050755
E02000218,5,1.191785183
E02000219,4,0.707371353
E02000220,13,2.588067402
E02000221,4,1.961741532
E02000222,5,0.932249237
E02000223,12,2.407455838
E02000224,2,2.713532874
E02000225,12,1.363362787
E02000226,10,2.469649523
E02000227,12,0.141819393
E02000228,4,1.281914005
E02000229,10,1.704946
E02000230,10,2.042267379
E02000231,13,0.04423677
E02000232,9,1.06169826
E02000233,12,0.450134309
E02000234,1,1.949211945
E02000235,2,2.587167523
E02000236,4,0.231426365
E02000237,6,1.335732646
E02000238,11,2.522351156
E02000240,13,1.60425909
E02000241,3,2.778600783
E02000242,7,2.272325089
E02000243,5,2.623199945
E02000245,3,0.70169941
E02000247,6,1.516336693
E02000249,10,1.440138414
E02000254,1,0.249735768
E02000260,12,0.505750613
E02000263,8,2.684395294
E02000266,9,1.992170081
E02000270,6,2.240453038
E02000274,6,1.379768624
E02000275,5,2.67075007
E02000277,12,2.177372641
E02000278,8,0.569678397
E02000279,6,0.848738541
E02000280,9,2.003452377
E02000281,8,1.925830029
E02000282,12,2.867240416
E02000283,5,1.076051133
E02000285,12,1.146035089
E02000286,10,2.088388359
E02000287,2,0.855412927
E02000288,12,2.163927047
E02000289,6,1.805556045
E02000290,1,1.682963345
E02000291,13,1.207313216
E02000292,4,2.496161246
E02000293,1,2.036640813
E02000294,7,1.502243004
E02000295,6,0.278322052
E02000296,3,0.638755506
E02000297,3,0.580364194
E02000298,7,2.225497805
E02000299,6,1.441998029
E02000300,1,0.637667979
E02000301,13,2.40836558
E02000302,12,0.920344933
E02000303,5,2.225161977
E02000304,10,2.337225119
E02000305,11,0.939284225
E02000306,2,1.644816457
E02000307,5,1.325390718
E02000308,6,2.778932412
E02000309,11,1.35196809
E02000311,11,1.156687185
E02000312,7,0.376309602
E02000313,10,2.939655531
E02000314,11,0.294542213
E02000315,10,1.539142436
E02000316,9,0.297620484
E02000317,12,1.214716046
E02000318,2,2.211049057
E02000319,1,0.834415172
E02000320,12,2.452225372
E02000321,13,0.671518906
E02000323,4,1.716617113
E02000324,6,1.657820428
E02000326,9,0.246260019
E02000327,8,2.184332251
E02000328,11,1.225982561
E02000329,1,2.808029836
E02000331,7,2.963224973
E02000332,3,2.52394149
E02000333,5,2.876883444
E02000334,4,0.889798699
E02000335,7,2.733648488
E02000337,2,1.62672278
E02000339,2,0.952452912
E02000341,6,1.873496755
E02000342,12,0.253317594
E02000343,8,2.405900034
E02000344,12,2.263460826
E02000345,7,2.514966092
E02000346,10,2.202049173
E02000347,2,2.777418923
E02000348,7,2.557409175
E02000350,5,2.18111416
E02000351,5,1.607793552
E02000352,5,0.138669467
E02000353,4,2.77794943
E02000354,2,2.918837994
E02000355,11,1.615603353
E02000356,8,2.221960795
E02000357,13,1.127200591
E02000358,13,1.591528795
E02000359,3,1.908273544
E02000360,9,2.845878603
E02000361,11,1.811887403
E02000363,5,2.083973353
E02000364,3,0.469057655
E02000365,8,0.474007975
E02000366,11,2.356190731
E02000367,9,2.61144475
E02000368,10,2.20411211
E02000369,12,1.126887795
E02000370,12,0.355763903
E02000374,2,0.3692198
E02000376,2,1.922741812
E02000377,1,0.175235961
E02000378,6,2.514828202
E02000379,11,1.615567143
E02000381,7,0.57331131
E02000382,12,0.791243453
E02000383,2,0.769220595
E02000384,4,2.786935461
E02000385,4,2.52869874
E02000386,11,2.683980938
E02000387,9,1.249578424
E02000388,2,2.673755873
E02000389,6,0.51635984
E02000391,4,1.695663322
E02000392,8,0.816369889
E02000394,9,2.202962072
E02000395,11,1.344665748
E02000396,1,1.573649088
E02000397,13,1.083342752
E02000398,5,1.1794437
E02000400,12,0.573835648
E02000401,5,1.446936391
E02000402,4,2.887012176
E02000403,3,2.983292708
E02000404,8,1.298314798
E02000405,11,0.347848241
E02000406,11,2.112665175
E02000407,6,2.498610891
E02000408,5,1.110511745
E02000409,9,0.300731382
E02000410,2,1.97349277
E02000411,2,0.511918601
E02000412,2,0.507491486
E02000413,2,2.038298557
E02000414,10,2.761227766
E02000415,6,2.007018193
E02000416,7,0.951816866
E02000417,5,0.55761487
E02000418,3,1.440197087
E02000419,2,2.221217779
E02000420,2,2.746365676
