AREANM,AREACD,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11
Bedford,E06000055,7.78416,6.03528,8.304,6.9546,6.49356,9.0114,8.63196,11.78568,12.70272,7.11732,0.91392
Central Bedfordshire,E06000056,5.79336,4.038,7.53864,5.05212,9.87672,12.98172,17.91396,11.64816,3.777,-1.08612,3.36576
Northumberland,E06000057,5.56308,5.10672,5.2278,5.22564,9.26004,10.66512,10.26096,5.3466,2.49924,2.57844,2.37492
Aylesbury Vale,E07000004,3.12768,4.74624,5.56776,7.39164,10.008,16.89516,17.85096,15.55812,5.64264,2.39256,0.81132
Chiltern,E07000005,4.6032,17.67408,21.58452,18.0954,5.0052,0.72792,4.82628,13.56528,16.46928,4.971,1.24044
South Bucks,E07000006,11.42568,13.67016,22.53168,21.12564,9.954,3.71556,1.04016,14.23764,12.09264,10.76076,-5.38116
Wycombe,E07000007,17.35896,15.42888,14.05692,9.48336,11.1846,8.31192,0.177,2.29872,3.84048,10.20444,6.24444
Cambridge,E07000008,7.12296,11.18484,11.00148,10.54416,7.69824,14.7366,14.9124,11.76216,-0.08904,-4.2894,-3.01356
East Cambridgeshire,E07000009,14.9688,17.3406,5.52576,-6.04872,1.96236,10.7976,20.62056,17.6886,10.4514,-2.2614,-7.73472
Fenland,E07000010,3.25884,-0.7644,5.727,15.71652,16.3776,16.6344,8.715,5.0148,-0.87036,-0.5238,-4.11408
Huntingdonshire,E07000011,6.84936,9.09672,11.07,14.36328,13.194,19.55988,10.1784,7.68276,0.07548,6.01524,7.1784
South Cambridgeshire,E07000012,13.24296,11.80788,5.50128,1.34256,5.49504,10.00836,14.53236,9.59928,1.59336,-2.66712,-3.85644
Allerdale,E07000026,7.2024,6.07416,0.95808,7.23204,13.15476,14.3976,7.8936,-2.24232,3.86208,4.67952,7.71444
Barrow-in-Furness,E07000027,3.13752,6.37164,1.43052,0.80712,2.08116,9.13752,12.27372,11.61936,6.26844,-1.91292,-8.67048
Carlisle,E07000028,10.97052,2.74248,4.6026,3.3108,5.2302,6.48384,7.00584,5.628,7.93692,11.17464,13.46796
Copeland,E07000029,10.95648,13.33128,-7.0062,-1.4634,0.92592,16.38552,11.44656,6.33144,6.70824,0.2322,7.48008
Eden,E07000030,22.11816,16.04724,4.8138,-0.59664,8.39292,13.96584,9.80124,8.04624,8.90964,15.17376,6.19236
South Lakeland,E07000031,11.77512,10.88124,-0.26964,-0.40812,1.33032,5.23344,6.28524,9.12384,16.40148,16.9512,9.69684
Amber Valley,E07000032,7.68732,19.89036,10.50948,8.56464,-0.94176,10.61736,14.54388,18.88296,5.4564,-6.7278,-13.34424
Bolsover,E07000033,12.42096,21.50244,13.563,7.7484,1.54632,18.34152,15.33516,17.24652,-3.13092,-6.1944,-9.80388
Chesterfield,E07000034,7.56984,6.8154,18.54648,23.2092,15.95976,3.6984,-6.63828,-4.48812,-1.54704,1.03896,3.13308
Derbyshire Dales,E07000035,12.37116,9.00312,9.96876,14.24892,14.83536,15.3456,7.45392,2.53536,5.43144,0.0528,-2.69388
Erewash,E07000036,7.22544,8.70036,3.89388,9.58068,15.67032,16.61664,18.13212,9.83556,2.67516,-6.68412,-3.57852
High Peak,E07000037,-6.26232,12.34248,12.98112,17.7912,13.96812,18.31752,19.44912,10.5186,4.57824,-2.379,-0.41988
North East Derbyshire,E07000038,6.45852,5.5812,15.00528,16.43292,19.5312,18.39072,10.17216,10.68096,4.04184,2.75124,-5.92452
South Derbyshire,E07000039,16.45752,16.31784,9.90672,0.30924,2.90736,15.20436,19.05432,5.84772,-0.35976,-6.75768,4.31592
East Devon,E07000040,6.58176,8.02416,5.34744,7.81068,8.90472,8.72484,5.24412,0.94332,-4.57764,-1.57896,-2.52348
Exeter,E07000041,15.30108,8.4132,7.55676,3.26064,2.87076,1.35132,0.3588,7.87656,13.18128,16.70916,3.84132
Mid Devon,E07000042,3.82284,6.39348,5.23008,10.67292,4.94496,12.79908,11.84136,20.484,12.18312,7.59888,-7.28832
North Devon,E07000043,7.51512,6.27468,11.79264,12.14952,8.93772,5.17332,-1.32204,-4.15584,-0.74976,1.371,-1.54248
South Hams,E07000044,7.52472,3.92004,7.8474,3.36396,6.23796,2.38128,11.14716,15.16032,14.60592,7.95324,-4.8432
Teignbridge,E07000045,6.45708,11.70912,5.00604,-1.05324,-6.57468,6.33444,8.98968,12.09588,5.04828,10.995,8.35056
Torridge,E07000046,19.14192,15.45756,13.8462,-1.18656,-0.2622,4.85472,3.7842,-8.5734,-1.64208,4.36296,11.29692
West Devon,E07000047,-1.02372,19.3812,16.01964,17.65044,-8.69484,-4.20036,2.95608,17.58048,13.64412,2.72988,-12.1056
Christchurch,E07000048,7.07568,12.3984,14.42376,6.58812,3.64992,3.50208,3.82224,11.2158,7.11936,1.00356,-3.65736
East Dorset,E07000049,14.33172,10.52664,7.9002,2.50404,5.59584,13.89492,16.29312,6.77916,-1.50036,-6.021,-0.12708
North Dorset,E07000050,14.18748,12.44892,8.3754,6.462,8.961,12.00636,9.65628,9.11256,3.12972,0.11412,-5.85876
Purbeck,E07000051,8.4948,11.23476,1.33848,4.12608,13.34496,19.87824,27.22728,0.99708,-6.91272,-28.41504,-6.05352
West Dorset,E07000052,13.6152,14.70168,13.68564,11.75184,12.4776,11.34732,9.6504,3.95076,1.3992,-5.02788,-3.8412
Weymouth and Portland,E07000053,5.45784,0.60708,2.73192,-2.73816,11.53284,10.6116,15.06024,3.35328,4.26252,4.71732,3.6174
Eastbourne,E07000061,-4.12296,1.9782,11.19888,18.10908,13.82016,8.80368,2.77224,0.14256,-1.9464,-3.11184,1.98852
Hastings,E07000062,7.82652,6.47112,4.18368,5.83956,4.43268,5.65728,5.67468,10.84344,8.92764,11.91492,3.567
Lewes,E07000063,8.23332,9.62352,9.57348,8.15988,7.64196,12.78732,7.53156,8.24256,8.89932,9.67224,4.6842
Rother,E07000064,15.25296,17.76324,11.253,8.8368,9.05364,4.20048,6.55956,3.78012,9.03372,-0.35304,0.65712
Wealden,E07000065,5.82852,10.88724,6.48264,7.7952,1.4004,9.70608,2.10936,10.05732,7.37748,6.99396,0.04752
Basildon,E07000066,7.69596,13.79916,8.0298,12.375,9.906,15.71352,7.41732,7.54368,1.55868,3.41484,-4.79316
Braintree,E07000067,19.5462,10.9578,10.04724,4.88616,2.27028,4.21716,1.96248,6.53124,4.5318,1.35252,-3.52008
Brentwood,E07000068,14.57064,17.00988,10.51932,3.44112,4.89432,9.36192,10.7184,1.33212,-3.39384,-4.7568,5.47848
Castle Point,E07000069,11.22564,10.95372,6.17688,6.15,10.67652,17.31372,1.70376,-5.88024,-12.09816,2.30604,3.77568
Chelmsford,E07000070,5.26524,10.52052,10.35384,7.35576,2.90388,3.22476,2.0922,7.5234,8.39484,6.48924,1.056
Colchester,E07000071,4.43532,8.63604,9.37656,7.15644,3.05904,2.88132,5.18412,5.85144,3.39684,-0.48036,-4.5552
Epping Forest,E07000072,8.2572,8.88816,5.62644,3.96492,7.45284,16.25052,14.24964,12.24996,3.14496,2.06676,-0.56196
Harlow,E07000073,14.3124,-4.398,5.439,-0.96192,2.38584,-8.32932,-4.31376,3.64692,12.23568,14.8146,5.40864
Maldon,E07000074,5.44416,10.78704,13.62144,16.89156,9.2682,8.5878,1.66752,3.49728,6.15732,1.60764,-1.7748
Rochford,E07000075,22.9866,17.31156,14.48664,-4.88724,-8.5818,-6.06468,7.97784,16.29036,10.07748,6.26568,2.69964
Tendring,E07000076,9.45768,3.05592,0.30012,3.88932,8.44668,10.0134,-0.29628,-1.02696,-3.18564,0.44328,-2.07744
Uttlesford,E07000077,18.5436,14.75052,22.43544,9.42648,16.96584,12.34068,14.154,8.4306,2.90676,-2.48112,-14.12088
Cheltenham,E07000078,16.31172,8.934,9.7338,8.36196,13.87452,12.8388,8.08668,0.93156,-2.06172,-8.76192,-5.61288
Cotswold,E07000079,-1.35612,-0.7272,5.49156,4.49412,9.2568,15.18852,22.94148,13.87116,5.71248,-6.29388,-2.54676
Forest of Dean,E07000080,8.68836,11.4018,-10.82088,1.32492,6.52464,27.51672,17.17704,7.84752,3.5328,0.59736,0.99336
Gloucester,E07000081,6.17664,12.29928,10.4976,7.03944,4.62348,12.64524,13.32264,11.50512,-3.4356,-12.79704,-10.41012
Stroud,E07000082,10.22196,7.92756,1.58232,7.36716,5.80896,16.41132,6.12648,1.36332,-10.41288,-4.26912,3.1998
Tewkesbury,E07000083,14.9514,9.504,13.22868,2.5986,5.92788,0.28896,9.0378,4.72704,5.05032,9.65232,9.87528
Basingstoke and Deane,E07000084,10.99044,9.72168,3.60012,3.58284,-0.74904,5.99616,2.44932,9.1986,6.31656,4.7394,1.30128
East Hampshire,E07000085,8.28984,6.0702,7.437,9.75216,13.24344,17.27316,13.80444,5.86284,1.15776,2.66868,4.5234
Eastleigh,E07000086,10.62984,17.25456,13.53456,12.0786,7.2276,16.05744,14.99292,13.04964,0.71832,-3.56256,-1.21584
Fareham,E07000087,12.60684,10.72248,8.41584,5.87316,-1.34352,-4.60068,-0.83928,3.1818,5.32308,2.86884,1.66872
Gosport,E07000088,5.09172,4.329,2.86668,-3.29304,5.8686,5.72664,14.10552,7.76328,10.90884,6.71328,10.36524
Hart,E07000089,5.23836,13.7808,20.80332,15.55092,14.61348,5.7078,2.0292,1.04256,9.55836,15.91548,6.9318
Havant,E07000090,8.5464,10.29024,8.51436,5.62272,5.14824,1.81824,5.97684,0.38196,7.10568,2.463,5.28516
New Forest,E07000091,11.6466,7.1568,8.7552,5.24148,11.94936,7.88856,7.092,-1.3224,0.5388,-0.20772,6.97428
Rushmoor,E07000092,22.6752,20.14488,3.8028,2.81556,5.58048,16.47228,7.40088,5.4444,2.91432,5.1798,6.59784
Test Valley,E07000093,6.8682,9.78672,12.50016,14.6898,13.01256,13.32372,8.877,4.82664,-2.60484,-1.99608,2.0016
Winchester,E07000094,4.27176,12.69888,5.73672,1.8762,10.16052,21.60264,29.51472,12.96876,2.29176,-8.78976,-4.95036
Broxbourne,E07000095,1.54632,5.31552,6.92436,14.442,18.10812,21.27396,5.5638,0.522,-2.1894,9.12792,12.54396
Dacorum,E07000096,8.82084,11.54952,13.73712,10.04808,3.85536,14.33064,15.276,14.37444,4.5426,0.8838,5.41344
Hertsmere,E07000098,13.08492,8.02704,9.93024,7.644,14.74176,9.09672,9.45324,0.52248,5.55444,12.35508,9.11352
North Hertfordshire,E07000099,17.65908,15.11736,1.76556,-1.43892,-9.12588,4.73688,5.85828,15.01404,6.05748,3.95712,0.46704
Three Rivers,E07000102,7.37196,2.56968,13.73076,14.19024,19.56636,12.66252,4.95756,5.42616,1.17912,2.6748,-4.82532
Watford,E07000103,8.21628,3.09996,7.0746,10.05924,5.41992,11.8638,5.99316,14.65176,1.62828,9.05532,0.97464
Ashford,E07000105,7.15428,6.72792,10.43952,14.60244,17.1978,14.9592,10.96188,10.05288,-0.00312,-2.58252,-6.09252
Canterbury,E07000106,0.00432,2.63004,8.41224,9.3294,8.7066,10.76904,10.96188,11.82924,5.16276,3.25116,-3.23964
Dartford,E07000107,15.14412,15.72,10.00608,-2.7318,-6.21444,-0.25788,6.94668,7.61928,10.5252,7.82976,5.83476
Dover,E07000108,12.99408,2.80728,1.14732,7.635,8.96652,9.0978,-0.52236,6.22248,4.09596,3.93672,-4.38492
Gravesham,E07000109,5.97444,8.56908,7.29,7.7784,9.50568,10.25388,13.179,7.58328,3.6792,-0.48456,6.01116
Maidstone,E07000110,7.13904,5.84196,2.96292,3.46872,4.32324,10.12584,10.8708,11.34888,2.75976,0.38316,-0.198
Sevenoaks,E07000111,9.51168,5.32884,1.1886,-7.06896,-0.66528,9.77016,13.37964,12.95652,6.1716,4.81848,6.30012
Shepway,E07000112,11.8608,5.40036,15.85968,22.3116,20.75832,9.78372,2.71104,0.37128,-1.10832,-2.6364,-2.85264
Swale,E07000113,13.89732,5.3202,3.83136,1.37124,5.89764,11.89716,18.024,20.15952,12.92892,2.86824,-6.12
Thanet,E07000114,3.8586,8.2506,16.36968,12.24216,10.75128,6.18804,9.1674,9.29724,6.17208,1.5132,-5.3784
Tonbridge and Malling,E07000115,4.7406,10.84464,17.07624,13.90812,2.6964,0.67608,1.6236,12.1542,15.63444,8.30304,1.10388
Tunbridge Wells,E07000116,9.89352,17.95332,13.9128,9.14688,9.29712,14.03196,21.57408,18.81252,5.89776,-6.65448,-10.4646
Burnley,E07000117,6.94932,8.39028,3.37296,8.07744,15.40092,18.04164,12.40884,-1.41996,-4.2414,-5.10144,4.53948
Chorley,E07000118,10.60728,15.4014,8.3586,6.54924,-0.25404,6.16728,4.989,9.99216,6.96564,6.52764,1.0986
Fylde,E07000119,12.01488,10.19616,12.37632,9.50712,14.19732,8.97828,4.35084,-7.29924,-3.05472,-2.0694,6.7386
Hyndburn,E07000120,4.40376,5.93244,6.00348,9.77268,2.88348,6.52416,10.16316,14.05272,8.95704,0.94932,-2.50284
Lancaster,E07000121,11.24364,11.07912,-4.08348,-3.58212,-2.1306,14.90172,15.63264,10.87188,-0.0882,-2.32212,1.00356
Pendle,E07000122,8.58516,4.52028,15.73704,4.36764,7.25472,-4.03248,9.97656,9.45048,13.89252,-1.16808,-3.00972
Preston,E07000123,10.64592,13.05396,12.8178,6.64716,0.91152,8.87268,7.71288,11.7318,4.94964,9.55476,4.73388
Ribble Valley,E07000124,16.1418,15.26808,13.5912,-2.9814,3.74484,-3.05388,15.16836,8.61864,1.17192,-7.55268,-12.23364
Rossendale,E07000125,11.46228,8.55024,11.15052,4.00692,1.17756,5.69772,14.52804,17.04144,19.00056,7.35804,6.68016
South Ribble,E07000126,15.04788,5.44032,1.94856,2.45736,13.42836,13.01688,6.69024,-0.4512,5.07264,10.59852,12.74232
West Lancashire,E07000127,14.163,9.88512,8.14296,2.15616,6.81384,8.82276,19.17,15.9756,14.01888,1.8756,-1.22856
Wyre,E07000128,0.34968,-1.00716,6.33564,7.86516,10.14012,-0.25716,-2.78292,-6.75408,4.61016,9.58188,13.107
Blaby,E07000129,4.09836,0.0336,2.9328,6.77052,10.96128,14.76204,7.41792,7.968,2.03388,1.40184,0.15264
Charnwood,E07000130,5.10816,12.2082,14.92896,14.49156,2.54556,9.8292,3.7734,5.37456,-3.72708,1.36056,3.99744
Harborough,E07000131,3.11472,5.1828,17.41752,18.99384,19.3362,10.24164,8.39904,5.46096,-0.35088,0.22116,3.42852
Hinckley and Bosworth,E07000132,-0.82032,6.12264,16.75776,24.76548,21.90744,18.15108,8.14836,4.72428,3.13536,0.5322,1.11972
Melton,E07000133,5.8284,-1.3854,2.43012,5.68236,10.79124,22.4418,7.2186,0.91284,-9.34404,2.84292,12.23664
North West Leicestershire,E07000134,10.18584,8.02968,13.758,6.96852,9.98796,9.3798,11.19588,16.3218,7.48476,6.3432,-6.20424
Oadby and Wigston,E07000135,2.83332,11.14308,11.28888,11.32164,5.23092,10.05384,15.08616,21.39216,12.27708,1.6068,-8.346
Boston,E07000136,12.69636,12.37512,4.75848,-0.16896,3.09144,6.56868,15.07764,13.39668,9.3858,1.87668,-1.16172
East Lindsey,E07000137,10.2228,12.1266,1.16112,0.40956,-5.94804,0.16572,3.88968,9.79896,11.83752,5.1816,1.95552
Lincoln,E07000138,5.76072,14.60904,9.99564,13.464,10.074,20.11632,10.61016,12.93204,3.48888,2.136,-3.7086
North Kesteven,E07000139,22.80036,21.34116,16.66116,3.42444,4.92444,6.96852,3.58644,3.60492,3.29136,13.67904,10.16628
South Holland,E07000140,9.5514,8.78412,-1.15716,-3.64656,9.6846,22.91556,20.79792,8.92884,-2.61156,-2.93988,-1.5498
South Kesteven,E07000141,5.7702,-0.62844,-6.40812,1.72392,11.6688,20.59788,16.93176,10.59552,3.30168,0.4332,0.069
West Lindsey,E07000142,1.25712,-5.58348,2.6436,12.92256,18.75984,22.26996,13.55604,6.96168,8.442,9.55152,17.4168
Breckland,E07000143,10.986,15.0762,8.85576,7.0812,4.95744,6.08892,4.6182,2.7912,1.79304,-3.78252,1.87284
Broadland,E07000144,10.38528,14.74932,11.27616,6.4608,3.12144,-0.45132,8.65932,10.16376,13.65624,4.49616,2.80632
Great Yarmouth,E07000145,6.27984,8.03832,-1.1256,2.8284,-2.7894,3.51816,6.8544,3.43392,3.6402,3.72444,10.30524
King's Lynn and West Norfolk,E07000146,5.7768,4.39572,2.84916,7.93332,15.40968,19.59432,11.0796,1.25052,-0.15648,-1.4772,1.94448
North Norfolk,E07000147,19.99092,22.8162,13.58496,8.67708,3.8712,9.32124,5.8608,2.80044,-3.54072,-2.94576,0.963
Norwich,E07000148,3.71316,9.19392,3.01908,3.07248,1.77768,10.35192,10.76076,7.49676,-2.01456,-6.92736,-6.90024
South Norfolk,E07000149,6.14928,10.3668,3.87348,0.61776,-1.85112,6.98112,10.97652,16.78548,8.4486,2.0568,-2.07804
Corby,E07000150,7.17,10.59024,6.0552,11.89716,3.14628,0.96876,-8.33172,1.34784,7.82448,10.0386,10.02
Daventry,E07000151,8.12916,10.41528,4.44864,7.60392,14.43828,19.35072,10.48236,-3.2298,-12.2256,-2.99712,2.69616
East Northamptonshire,E07000152,-3.24168,-3.8448,5.94168,5.53512,10.75428,10.2882,17.35812,25.88352,18.72828,11.28696,-5.02476
Kettering,E07000153,3.49704,4.02768,12.5112,7.70052,7.97028,5.46036,9.6522,12.8022,16.16352,7.32108,1.93092
Northampton,E07000154,7.49364,8.69652,9.01692,3.70704,9.20748,1.95348,2.42928,-4.59036,6.33948,11.18004,11.19984
South Northamptonshire,E07000155,7.37544,11.343,7.68888,14.20704,7.01232,12.65436,7.05708,12.08496,5.9892,8.4504,4.32948
Wellingborough,E07000156,13.69872,12.18228,7.30872,5.16984,9.702,4.98516,10.27608,-0.77088,0.72672,-6.90444,-3.8592
Craven,E07000163,14.29536,3.40308,10.27572,3.3588,9.867,11.42772,9.59088,6.54984,-0.70704,4.5906,0.94608
Hambleton,E07000164,15.17484,14.15868,5.2608,2.3628,8.13636,16.10892,21.94644,10.26984,5.25576,-0.73152,7.95096
Harrogate,E07000165,5.74248,7.12284,5.41464,4.93296,11.12136,12.84888,8.0478,6.19452,6.43632,8.75136,-0.79512
Richmondshire,E07000166,-12.41508,-9.25008,11.22276,14.57976,12.29736,1.34604,6.9438,5.72892,11.59368,6.52452,13.59936
Ryedale,E07000167,-6.89196,1.03896,8.72544,8.18244,17.4672,10.37064,2.20092,-10.09068,-1.5924,12.30708,28.0938
Scarborough,E07000168,5.48256,8.4324,8.0742,10.53948,5.83548,2.69892,0.57336,5.634,12.37056,10.01496,6.9942
Selby,E07000169,18.88284,10.09476,4.66512,0.23196,10.7508,13.19268,7.91352,3.42432,-0.2196,8.95008,3.49032
Ashfield,E07000170,14.09808,14.13156,6.3774,1.80528,6.1146,11.01432,13.02156,11.91012,6.85704,0.41376,-5.33736
Bassetlaw,E07000171,2.03784,12.6354,14.283,11.70072,2.25492,7.5792,9.6624,14.63676,5.24724,-2.1018,-7.27476
Broxtowe,E07000172,12.51336,3.55212,1.40112,3.11172,10.2498,16.0692,11.43036,6.39864,2.57616,-3.16392,-4.91664
Gedling,E07000173,12.35892,10.27656,6.2736,-0.36828,7.69788,9.37392,9.8442,6.372,2.79828,7.83084,-0.6636
Mansfield,E07000174,13.4328,6.99804,8.38848,-0.37968,6.56388,11.45796,17.10468,10.40184,1.68096,-4.4592,-2.20884
Newark and Sherwood,E07000175,7.73916,-0.44532,0.36396,7.89,17.12892,14.30124,9.89664,6.95688,4.70136,4.07544,-0.17892
Rushcliffe,E07000176,13.12116,18.35964,20.16816,7.21596,0.87024,-0.22752,7.77468,9.62556,12.57864,10.51968,6.6546
Cherwell,E07000177,9.26376,12.82596,10.88772,10.69236,3.66984,3.0156,2.7258,1.62576,-2.0946,-1.01508,0.58404
Oxford,E07000178,2.03616,8.40804,9.19464,15.11412,5.16468,7.45212,-0.83688,10.8684,7.7694,16.34904,8.96604
South Oxfordshire,E07000179,5.19024,9.78888,9.47256,13.40268,15.19884,14.70024,4.9092,-2.31,0.9726,7.21044,15.1176
Vale of White Horse,E07000180,13.83588,14.03112,18.55056,16.78692,14.58336,1.32984,-4.06872,-7.4826,1.17312,3.828,15.76332
West Oxfordshire,E07000181,8.93172,16.58976,15.91872,13.40352,1.97664,1.89936,-1.87884,5.7258,3.22452,5.03652,2.034
Mendip,E07000187,7.84464,9.0024,12.87852,12.06696,9.59916,8.6394,8.74524,11.1444,8.03904,0.55932,-2.4792
