AREACD,AREANM,Method,% workforce taking bus and rail,Retail (47),Health (Q),Professional (M),Education (P),Finance (K),Food and Drink (56),Admin and support (N),Public admin (O),Information and communication (J),Construction (F),Manufacturing (C) ,Transport (H),Arts (R),"Other Services (S,T,U)","Wholesale (45,46,48)",Accommodation (55),Real estate (L),"Agriculture, electricity, water, mining (A,B,D,E)"
England and Wales average,England and Wales average,,5.867753587,1.613798568,1.332930146,0.782763527,0.743236636,0.68641113,0.657556674,0.654114508,0.615006433,0.539130697,0.501009054,0.479528099,0.415647085,0.301884904,0.272861948,0.255874436,0.141227581,0.118792074,0.102516423
E06000047,County Durham UA,Bus,6.528839542,1.41366339,1.002103305,0.137523763,0.489928407,0.12690612,0.617845731,0.293754803,0.414593698,0.061683453,0.12943413,0.403976055,0.177971929,0.158253448,0.190106378,0.12943413,0.098592404,0.034380941,0.097581199
E06000005,Darlington UA,Bus,8.053755424,1.869587658,1.215805471,0.19498767,0.28483493,0.330714381,0.686280132,0.399533559,0.27527671,0.34983082,0.145284931,0.240867122,0.25998356,0.231308903,0.191164382,0.118521917,0.12999178,0.047791096,0.030586301
E06000001,Hartlepool UA,Bus,7.42758902,1.792062475,1.302523457,0.1923189,0.454571945,0.090331604,0.629407308,0.472055481,0.262253045,0.055364532,0.183577132,0.419604872,0.221458127,0.244769509,0.227285972,0.09615945,0.078675914,0.069934145,0.131126523
E06000002,Middlesbrough UA,Bus,10.45358633,2.355983564,1.829258619,0.255429868,0.756770478,0.152306008,0.778981771,0.594945344,0.542590154,0.144373404,0.244324221,0.250670305,0.198315115,0.274468119,0.279227682,0.220526408,0.095191255,0.12057559,0.058701274
E06000057,Northumberland UA,Bus,5.296082746,0.978912034,0.830348682,0.104395869,0.262595763,0.069864928,0.419189567,0.265807944,0.472993592,0.062637521,0.112426321,0.255368357,0.131699404,0.112426321,0.13732072,0.11082023,0.100380643,0.025697445,0.040152257
E06000003,Redcar and Cleveland UA,Bus,5.842394253,1.106842893,1.020031686,0.110684289,0.399331554,0.058597565,0.609848731,0.295158105,0.210517178,0.041235323,0.217028018,0.258263342,0.210517178,0.164941294,0.204006337,0.11502485,0.062938125,0.058597565,0.056427284
E06000004,Stockton-on-Tees UA,Bus,6.553344804,1.304895089,1.00696329,0.181299583,0.331420257,0.318717738,0.472302736,0.359134843,0.353360971,0.113167893,0.159358869,0.300241348,0.236728755,0.161668418,0.161668418,0.158204095,0.038107556,0.064667367,0.08083421
E08000037,Gateshead,Bus,16.76533732,3.695270314,1.837876521,0.34372086,0.626721315,0.232038688,1.111400256,0.844664194,0.634311366,0.278663284,0.410947021,0.980200811,0.489016113,0.363238132,0.287337627,0.471667426,0.175655455,0.106260707,0.086743435
E08000021,Newcastle upon Tyne,Bus,27.85263467,3.064729194,2.910905622,0.939380596,1.652135623,0.76442096,1.530603258,1.060912961,1.190077792,0.505504183,0.352267723,0.406282108,0.44150888,0.528988698,0.508439747,0.244238955,0.286511082,0.180243652,0.058124174
E08000022,North Tyneside,Bus,15.00272003,1.688781665,1.558693441,0.262541687,0.424560657,0.487239528,0.586579626,0.659902079,0.970931195,0.66463256,0.314576977,0.415099695,0.171479931,0.16438421,0.224697841,0.206958537,0.089879136,0.076870314,0.086331276
E08000023,South Tyneside,Bus,15.04878387,2.388727266,2.141344574,0.191968968,0.643194997,0.146450553,0.969740149,0.643194997,0.484870075,0.110827446,0.324566091,0.684755289,0.294880168,0.372063567,0.358210137,0.203843337,0.069267154,0.085099646,0.067288092
E08000024,Sunderland,Bus,14.16589592,2.433182346,2.041881092,0.237942783,0.732010024,0.483000134,0.964419254,0.813432305,0.961257223,0.214227556,0.316993542,0.750191698,0.434779172,0.351775875,0.331222679,0.277468162,0.082212789,0.135967305,0.479838104
E06000008,Blackburn with Darwen UA,Bus,7.16787803,1.413514806,1.263830378,0.223755073,0.348749286,0.124994213,0.353378702,0.303998272,0.266962949,0.151227567,0.12808049,0.564788667,0.182090335,0.188262889,0.134253044,0.175917782,0.021603938,0.044751015,0.052466706
E06000009,Blackpool UA,Bus,8.768644975,1.90383284,1.513625779,0.171502297,0.31625653,0.155768141,0.950343005,0.35873875,0.681288942,0.056642961,0.12429983,0.294228712,0.31625653,0.44055636,0.157341557,0.118006168,0.519227138,0.055069545,0.044055636
E06000049,Cheshire East UA,Bus,3.897918418,0.41151365,0.377129883,0.105334396,0.089506948,0.09114427,0.22922511,0.146267451,0.050211215,0.096602011,0.038749959,0.187200506,0.066584437,0.053485859,0.069313307,0.072042177,0.045845022,0.015281674,0.016373222
E06000050,Cheshire West and Chester UA,Bus,5.60861588,1.366652424,0.457435846,0.186618745,0.195415588,0.202327393,0.387689446,0.246939955,0.209867545,0.08671174,0.077286551,0.138864453,0.085455048,0.101792043,0.118757383,0.077914897,0.132580994,0.045240908,0.023877146
E06000006,Halton UA,Bus,6.631608178,1.560276303,0.989274185,0.131903225,0.307195668,0.105869693,0.395709674,0.406123087,0.310666806,0.211739387,0.140581068,0.360998299,0.206532681,0.163143462,0.105869693,0.183970287,0.071158319,0.062480475,0.052067062
E06000007,Warrington UA,Bus,7.154244719,1.378515605,0.76247249,0.179354324,0.183686554,0.129966902,0.455750602,0.412428302,0.290259414,0.207080597,0.093576169,0.16289185,0.336181053,0.149028714,0.130833348,0.164624742,0.060651221,0.042455855,0.10657286
E07000026,Allerdale,Bus,3.80502606,1.086451171,0.403748746,0.04649228,0.234908361,0.024469621,0.242249248,0.161499498,0.171287347,0.017128735,0.122348105,0.183522157,0.13947684,0.085643673,0.146817726,0.090537598,0.16394646,0.017128735,0.053833165
E07000027,Barrow-in-Furness,Bus,5.893221203,0.984327217,0.987512742,0.114678899,0.207059123,0.140163099,0.379077472,0.232543323,0.337665647,0.073267074,0.168832824,0.688073394,0.105122324,0.114678899,0.136977574,0.028669725,0.05733945,0.041411825,0.028669725
E08000001,Bolton,Bus,8.868164917,1.72821744,1.040917325,0.226211009,0.387418854,0.207143414,0.510491511,0.471489612,0.480156701,0.085804176,0.175075187,0.586761889,0.28514721,0.19500949,0.156007593,0.274746704,0.076270378,0.07540367,0.124806074
