AREANM,AREACD,percent_change,population_change,natural_change,all_migration_net,net_within_uk_migration,net_international_migration,births,deaths,internal_migration_in,internal_migration_out,international_migration_in,international_migration_out,crossborder_in,crossborder_out
Epping Forest,E07000072,8.1,10510,3303,7153,5596,1557,16385,13082,79056,73012,4973,3416,923,1370
Harlow,E07000073,6.7,5777,5145,607,-2222,2829,12297,7151,36718,38523,5514,2686,566,983
Maldon,E07000074,5.2,3283,-1664,4931,4451,480,5597,7261,32385,27637,1187,707,498,795
Rochford,E07000075,5.8,4995,-582,5566,5210,355,7928,8510,42649,37300,956,601,483,622
Tendring,E07000076,8.7,12504,-7926,20427,19368,1059,13214,21140,70759,51139,2613,1553,1143,1396
Uttlesford,E07000077,11.5,9913,1518,8367,7698,668,9377,7859,53091,45096,2698,2030,1001,1298
Cheltenham,E07000078,3.7,4391,1715,2664,3641,-977,12963,11248,72173,69183,8553,9530,4686,4035
Cotswold,E07000079,6.2,5337,-2214,7193,6936,257,7236,9451,56115,49459,3888,3631,2839,2560
Forest of Dean,E07000080,6.5,5527,-1663,7198,6640,558,8019,9681,36482,30031,1947,1389,7452,7263
Gloucester,E07000081,8.3,10709,6221,4397,1550,2847,17603,11382,59714,58178,7416,4569,3775,3761
Stroud,E07000082,7.4,8714,-1491,10161,9678,483,11420,12912,55984,46301,2675,2191,3487,3493
Tewkesbury,E07000083,10.9,9675,930,8708,7343,1365,10042,9113,54613,47357,3484,2119,2349,2262
Basingstoke and Deane,E07000084,5.3,9374,6733,2567,979,1589,20960,14227,73277,71457,7755,6166,2728,3569
East Hampshire,E07000085,4.7,5593,-1957,7536,6851,685,10704,12661,67613,60242,3598,2913,1800,2321
Eastleigh,E07000086,5.8,7510,3752,3719,3411,308,15019,11267,64479,60392,2703,2395,1493,2169
Fareham,E07000087,5.5,6329,-1546,7853,6983,870,11082,12628,59774,52562,2586,1716,2187,2416
Gosport,E07000088,4.1,3485,443,3037,2859,178,9058,8614,36041,32872,1735,1557,1751,2061
Hart,E07000089,3.1,2958,1659,1254,557,697,9378,7719,53263,52058,3254,2556,1602,2251
Havant,E07000090,4.8,5957,-809,6769,6183,586,12915,13724,57980,51454,2240,1654,1229,1572
New Forest,E07000091,3.6,6507,-7142,13620,11459,2161,14810,21953,80193,68021,5309,3148,2350,3063
Rushmoor,E07000092,1,929,5457,-4560,-5585,1025,12753,7296,53484,58020,5638,4613,1480,2529
Test Valley,E07000093,7.4,9113,1592,7483,6724,759,13567,11975,65179,57999,4156,3398,2161,2617
Winchester,E07000094,6.8,8413,750,7673,6641,1032,12221,11470,92272,85570,6837,5805,2557,2618
Broxbourne,E07000095,5.9,5752,4593,1140,45,1095,12437,7843,49369,49156,3652,2557,569,736
Dacorum,E07000096,7.9,12037,6791,5151,3490,1662,19316,12526,76668,72453,6495,4833,1505,2229
Hertsmere,E07000098,6,6208,3479,2691,1875,816,12917,9437,68182,65913,5629,4813,1083,1477
North Hertfordshire,E07000099,7.4,9847,2749,7019,7587,-568,15704,12955,75765,68016,3577,4144,1615,1777
Three Rivers,E07000102,7.9,7353,1975,5324,5227,98,10397,8423,60549,54914,3023,2925,864,1272
Watford,E07000103,9.2,8882,6753,2054,208,1846,14370,7618,65085,64682,8766,6920,1352,1547
Ashford,E07000105,10,12549,3730,8698,6990,1707,15107,11378,62781,55851,5067,3360,1520,1460
Canterbury,E07000106,8.7,14205,-1316,15786,5026,10761,14687,16002,129087,123263,20796,10036,3046,3844
Dartford,E07000107,12.8,13494,6039,7397,5717,1680,15397,9358,65261,59167,4395,2715,740,1117
Dover,E07000108,5.1,5896,-2070,7935,6720,1215,11098,13167,48316,41336,4167,2952,1456,1717
Gravesham,E07000109,7.4,7828,4493,3323,1406,1917,13706,9213,48969,47112,6056,4139,802,1253
Maidstone,E07000110,9.8,16264,4016,12204,8124,4080,19803,15786,86194,77744,10930,6850,1744,2070
Sevenoaks,E07000111,5.9,7027,1555,5417,4429,988,12751,11196,71315,66249,4223,3236,1039,1676
Shepway,E07000112,5.9,6501,-2756,9209,8266,944,10314,13070,53513,44799,3298,2354,1367,1815
Swale,E07000113,10.5,15216,3305,11874,7588,4286,17206,13900,62527,54605,7015,2729,1160,1494
Thanet,E07000114,9.2,12950,-1591,14549,11817,2732,15502,17093,61526,48972,6514,3782,1419,2156
Tonbridge and Malling,E07000115,7.9,10061,3915,6115,5292,823,14409,10494,77334,71557,3919,3096,1072,1557
Tunbridge Wells,E07000116,3.2,3758,1087,2562,1278,1284,11812,10726,66446,64921,6011,4727,1385,1632
Burnley,E07000117,0.2,151,1539,-1386,-1836,450,10670,9131,32371,34031,2337,1887,1113,1290
Chorley,E07000118,9.2,10559,1315,9201,8687,513,12549,11235,51702,42704,2092,1579,1606,1916
Fylde,E07000119,4.2,3276,-4686,7937,7671,265,6065,10751,44345,36600,1854,1589,1939,2012
Hyndburn,E07000120,-1.5,-1171,1491,-2664,-3032,368,9892,8401,29551,32306,1773,1405,943,1219
Lancaster,E07000121,2.2,3111,-354,3645,-4283,7928,14490,14844,74018,77998,17843,9914,4643,4946
Pendle,E07000122,0.4,341,2917,-2656,-5531,2875,11506,8590,28869,33932,5033,2158,955,1423
Preston,E07000123,-0.4,-524,5817,-6270,-7908,1639,17697,11880,77481,84966,12050,10411,3578,4002
Ribble Valley,E07000124,2.8,1647,-1962,3600,3482,118,4534,6496,29473,25662,1265,1148,743,1072
Rossendale,E07000125,3.5,2454,782,1654,1609,46,7597,6815,30889,28866,907,861,938,1353
South Ribble,E07000126,1.5,1658,1183,408,363,46,11605,10423,46238,45591,1907,1862,1223,1508
West Lancashire,E07000127,1.6,1828,-1583,3480,2048,1432,10891,12474,53753,51757,4091,2659,2322,2270
Wyre,E07000128,3.4,3751,-5267,9012,8254,758,9510,14777,59006,50800,2183,1425,2119,2072
Blaby,E07000129,7.3,7141,2153,4957,4638,319,11109,8956,53762,48952,1739,1420,814,986
Charnwood,E07000130,9.9,17577,4429,13370,7103,6267,19480,15051,113680,107153,13864,7598,3909,3333
Harborough,E07000131,8.4,7560,-422,7963,7493,471,8577,8999,49242,41376,1905,1434,1041,1414
Hinckley and Bosworth,E07000132,7.4,8101,752,7318,7093,225,11367,10615,50886,43582,2308,2083,1279,1490
Melton,E07000133,1.9,952,-86,1011,1025,-14,4910,4996,22641,21388,1125,1140,541,769
North West Leicestershire,E07000134,8.2,8091,1001,7052,6391,661,10459,9458,46760,40166,1839,1178,1126,1329
Oadby and Wigston,E07000135,1.1,624,-706,1384,518,866,5486,6191,47207,47044,2346,1480,1024,668
Boston,E07000136,4.7,3191,322,2845,-7200,10045,7706,7385,22207,29156,12464,2419,570,822
East Lindsey,E07000137,3.1,4266,-7942,12189,10509,1681,11408,19350,71164,60672,3190,1510,2134,2117
Lincoln,E07000138,2.9,2785,3424,-494,-4135,3641,11971,8547,82861,86854,8756,5115,1480,1622
North Kesteven,E07000139,6.3,7104,-387,7454,6767,687,11323,11709,62279,55396,2162,1475,1987,2104
South Holland,E07000140,6.8,6303,-1693,7970,2418,5552,9244,10938,38514,35868,7726,2175,795,1023
South Kesteven,E07000141,7.6,10721,-866,11549,9693,1856,13851,14717,69746,60085,4896,3040,1939,1907
West Lindsey,E07000142,7.3,6851,-1348,8187,7341,846,8966,10314,54250,47005,1760,914,1498,1403
Breckland,E07000143,7.8,10746,-2496,13355,9186,4169,14120,16616,67171,57938,7193,3024,1681,1729
Broadland,E07000144,4.5,5700,-3939,9613,8974,640,11398,15337,66227,57357,1921,1281,1117,1014
Great Yarmouth,E07000145,2.6,2588,-1897,4480,1474,3007,9969,11866,36463,34847,4887,1880,995,1137
King's Lynn and West Norfolk,E07000146,4.8,7217,-2087,9468,7294,2174,15417,17504,59716,52321,6506,4331,1732,1834
North Norfolk,E07000147,4.2,4344,-6917,11254,9231,2024,7731,14649,49724,40500,3620,1596,1141,1134
Norwich,E07000148,5.4,7490,7583,-23,-10961,10938,17896,10312,107735,118397,22468,11530,2786,3085
South Norfolk,E07000149,10.7,14257,-265,14493,13896,597,13675,13940,79516,65558,2867,2270,1457,1520
Corby,E07000150,15.6,10672,3458,7190,2903,4288,9407,5949,25965,22772,6221,1934,1310,1600
Daventry,E07000151,5.8,4728,-153,4863,4070,793,7830,7982,44278,39824,2846,2053,1019,1402
East Northamptonshire,E07000152,7.7,7057,-45,7084,6252,831,9059,9104,49179,42663,2949,2118,1010,1274
Kettering,E07000153,8.4,8310,2832,5456,3678,1778,12041,9208,44932,41059,4285,2507,1197,1392
Northampton,E07000154,7.8,17442,12780,4670,-9497,14167,30822,18042,98599,107302,26893,12726,2833,3626
South Northamptonshire,E07000155,7.8,7014,570,6445,5798,647,8688,8118,54533,48332,2269,1622,1259,1662
Wellingborough,E07000156,5.8,4521,2028,2484,-394,2878,9189,7161,36887,37117,5375,2497,813,976
Craven,E07000163,2.3,1281,-2363,3579,3459,120,4455,6818,27188,23586,1465,1344,1127,1270
Hambleton,E07000164,1.1,1033,-2020,3022,2695,327,7864,9885,39450,36617,2225,1898,1674,1811
Harrogate,E07000165,1.3,2000,-3294,4357,4070,287,13957,17252,65355,60941,6974,6687,3203,3547
Richmondshire,E07000166,-3,-1594,-148,-1459,-1427,-32,4877,5025,25457,26631,2154,2186,1903,2157
Ryedale,E07000167,5.8,3123,-1631,4737,4342,395,4801,6432,26853,22612,1659,1264,1122,1021
Scarborough,E07000168,0.2,195,-4627,4755,4189,566,9252,13879,43370,39069,3313,2747,1812,1923
Selby,E07000169,6.6,5770,990,4703,3645,1057,9373,8383,41557,37815,2388,1330,1181,1278
Ashfield,E07000170,6.9,8607,1731,6834,5870,964,14703,12972,56285,50380,2227,1263,1025,1061
Bassetlaw,E07000171,3.1,3554,-1189,4721,2732,1988,11620,12809,41967,39140,3640,1652,1172,1267
Broxtowe,E07000172,5.1,5679,1261,4363,2684,1678,12526,11265,71277,68157,5588,3910,1534,1970
Gedling,E07000173,6.2,7275,1181,6008,5933,75,12997,11817,63209,57107,1802,1727,818,987
Mansfield,E07000174,5,5414,1461,3865,184,3681,12557,11096,42956,42711,5727,2046,847,907
Newark and Sherwood,E07000175,7.1,8512,-360,8803,7202,1601,12483,12843,60091,52837,3779,2178,1397,1449
Rushcliffe,E07000176,6.9,7896,148,7717,6972,746,11158,11010,71427,64531,3030,2284,1874,1799
Cherwell,E07000177,4.1,6009,4083,1696,-437,2133,17186,13103,70213,69680,8793,6660,2583,3554
Oxford,E07000178,0,-13,7645,-7458,-20154,12696,16919,9274,142677,163449,48587,35891,6944,6326
South Oxfordshire,E07000179,4.5,6282,1943,4296,3572,724,14937,12993,79324,74738,5920,5196,2424,3439
Vale of White Horse,E07000180,7.1,9175,2571,6526,4242,2284,14184,11613,75125,70417,7066,4782,3288,3754
West Oxfordshire,E07000181,3,3288,280,2909,2071,837,11454,11174,49446,46986,4090,3253,2243,2631
Mendip,E07000187,6.3,7179,-780,7928,6765,1163,11240,12020,60373,53610,4217,3054,3091,3089
Sedgemoor,E07000188,9,10876,-27,10896,8897,1999,12810,12837,56551,47333,4556,2557,2686,3007
South Somerset,E07000189,4.5,7447,-1972,9340,7965,1375,16161,18133,74153,65931,5808,4433,3475,3732
Taunton Deane,E07000190,8.1,9355,-1670,10959,9485,1474,12096,13766,58686,49131,4977,3503,2829,2900
West Somerset,E07000191,1.3,444,-2791,3234,2946,288,2416,5207,20011,17020,1216,927,951,996
Cannock Chase,E07000192,1,989,554,391,-181,572,10210,9656,34391,34120,1330,758,952,1405
East Staffordshire,E07000193,3.7,4366,2198,2142,-1235,3377,13700,11502,42499,43651,6590,3214,1423,1505
Lichfield,E07000194,2.3,2334,-2461,4768,4032,736,9033,11494,48756,44181,2233,1497,1229,1772
Newcastle-under-Lyme,E07000195,4.6,5918,-396,6316,2648,3668,12913,13309,65337,62709,6456,2788,2431,2411
South Staffordshire,E07000196,2.4,2647,-3285,5908,5624,284,9366,12650,52604,46514,1162,878,1278,1744
Stafford,E07000197,3,3944,-1220,5103,3887,1215,12240,13460,55043,50662,5198,3983,2310,2804
Staffordshire Moorlands,E07000198,1.5,1447,-3268,4703,4441,262,8151,11419,37802,33104,1038,776,1108,1365
Tamworth,E07000199,-0.6,-484,1620,-2115,-2993,878,8416,6795,25535,28190,1884,1007,731,1069
Babergh,E07000200,4.6,4185,-2793,6962,6360,602,7766,10558,49212,42804,2199,1597,893,941
Forest Heath,E07000201,9.6,6059,4399,2958,4145,-1187,10098,5699,34593,30509,3582,4769,727,667
Ipswich,E07000202,5.2,7238,6658,449,-3070,3519,18449,11792,61709,64577,10239,6720,1271,1474
Mid Suffolk,E07000203,5.9,5918,-1580,7453,6960,493,8883,10463,53710,46628,1860,1368,1098,1221
St Edmundsbury,E07000204,3,3362,-52,3615,3422,193,11276,11327,52508,48966,3993,3800,1341,1460
Suffolk Coastal,E07000205,4.4,5683,-5077,10739,9464,1275,10091,15168,61235,51739,3804,2529,1594,1626
Waveney,E07000206,4,4730,-3374,8094,7036,1059,11329,14703,44844,37717,2583,1525,1250,1342
Elmbridge,E07000207,4.9,6674,5297,1332,1198,134,16466,11170,82385,80680,8453,8319,1792,2299
Epsom and Ewell,E07000208,8.4,6614,3037,3569,3212,357,9401,6364,53171,49872,4021,3665,1137,1224
Guildford,E07000209,5.7,8432,4937,3544,-7292,10836,15998,11061,102632,109683,26405,15569,3009,3250
Mole Valley,E07000210,3.2,2821,-1289,4060,4389,-330,7832,9121,50307,45635,3363,3692,1265,1547
Reigate and Banstead,E07000211,8,11684,3808,7794,6686,1108,17898,14090,83321,76432,6271,5163,1883,2086
Runnymede,E07000212,7.7,6684,3258,3477,-1341,4817,10490,7232,65058,66256,11902,7085,1675,1817
Spelthorne,E07000213,5.2,5175,3131,2016,1017,1000,12298,9167,52301,50753,4806,3806,1081,1612
Surrey Heath,E07000214,2.8,2528,444,2056,1831,225,9061,8616,52435,50332,3739,3514,1472,1744
Tandridge,E07000215,7.1,6167,490,5650,5040,610,9338,8849,55239,49832,2684,2074,920,1287
Waverley,E07000216,3.2,4010,-94,4097,2788,1309,12203,12297,79502,76099,6129,4820,1861,2476
Woking,E07000217,2.7,2699,4017,-1468,-1723,255,12195,8177,55262,56927,6725,6470,1691,1750
North Warwickshire,E07000218,3.1,1972,-1108,3062,2673,389,6308,7416,31807,28914,1040,651,723,943
Nuneaton and Bedworth,E07000219,4.2,5316,2538,2723,2445,278,15184,12647,48269,45313,3070,2791,1217,1729
Rugby,E07000220,6.9,7273,2237,4989,2046,2943,12079,9842,45324,42730,7204,4260,1554,2103
Stratford-on-Avon,E07000221,3,3700,-3542,7187,5080,2107,10639,14182,61721,56132,6197,4090,2189,2698
Warwick,E07000222,2.9,4009,3163,820,716,103,15034,11871,79521,78406,10207,10104,2505,2904
Adur,E07000223,7.9,5048,-172,5190,4629,561,6963,7134,37209,32265,1681,1120,511,826
Arun,E07000224,9.6,15099,-6657,21743,18662,3082,15046,21703,77971,59065,7736,4654,1822,2065
Chichester,E07000225,7.1,8506,-4167,12700,10255,2445,10468,14635,78659,68122,7034,4589,1804,2087
Crawley,E07000226,5.5,6086,7682,-1656,-6806,5150,14979,7297,42067,48458,11072,5922,1318,1732
Horsham,E07000227,7.7,10704,-1099,11758,9913,1845,12984,14084,72029,61720,4921,3076,1896,2292
Mid Sussex,E07000228,8.7,12851,1413,11377,9723,1655,15676,14263,77078,67063,6317,4663,1739,2031
Worthing,E07000229,8.1,8823,-2431,11226,10298,927,11087,13517,59020,48586,4060,3133,1292,1428
Bromsgrove,E07000234,6.4,6196,-1995,8163,7662,502,9526,11521,52159,44221,1569,1068,1317,1594
Malvern Hills,E07000235,5,3807,-4627,8425,7105,1320,5940,10567,44247,37040,2924,1604,2239,2341
Redditch,E07000236,0.5,458,2930,-2521,-4403,1881,10004,7075,26256,30221,4118,2237,1046,1483
Worcester,E07000237,4.4,4482,4240,249,-997,1246,12850,8610,54119,55100,6514,5268,2823,2839
Wychavon,E07000238,8,9795,-1792,11562,8251,3311,11273,13065,60354,51944,6126,2815,2360,2520
Wyre Forest,E07000239,3.2,3155,-1262,4371,4012,359,10250,11512,35267,30867,1519,1160,1657,2046
St Albans,E07000240,6.2,9166,7167,1863,1375,488,18480,11312,83429,81629,6577,6089,2082,2506
