MSOA11CD,07/03/2020,14/03/2020,05/03/2020,28/03/2020,04/04/2020,11/04/2020,18/04/2020,25/04/2020,02/05/2020,09/05/2020,16/05/2020,23/05/2020,30/05/2020,13/06/2020
E02000001,,7,,,,,,,,,,,,
E02000002,,6,,5,1,1,,,,,,,,
E02000003,,6,,5,1,1,,,,,,,,
E02000004,,6,,5,1,1,,,,,,,,
E02000005,,6,,5,1,,,,,,,,,
E02000007,,6,,5,1,,,,,,,,,
E02000008,,6,,5,1,,,,,,,,,
E02000009,,6,,5,1,,,,,,,,,
E02000010,,6,,5,1,,,,,,,,,
E02000011,,6,,5,1,,,,,,,,,
E02000012,,6,,5,1,,,,,,,,,
E02000013,,6,,5,1,,,,,,,,,
E02000014,,6,,5,1,,,,,,,,,
E02000015,,6,,5,1,,,,,,,,,
E02000016,,6,,5,1,,,,,,,,,
E02000017,,6,,5,1,,,,,,,,,
E02000018,,6,,5,1,,,,,,,,,
E02000019,,6,,5,1,,,,,,,,,
E02000020,,6,,5,1,,,,,,,,,
E0200005,,6,,5,1,,,,,,,,,
E0200003,,6,,5,1,,,,,,,,,
E02000023,,6,,5,1,,,,,,,,,
E02000024,1,,1,1,,6,,,,,,,,
E02000025,1,,1,1,,6,,,,,,,,
E0200004,,5,1,1,,6,,,,,,,,
E02000027,1,,1,1,,6,,,,,,,,
E02000028,1,5,1,1,,6,,,,,,,,
E0200006,,5,1,1,,6,,,,,,,,
E02000030,1,,1,1,,6,,,,,,,,
E02000031,,,1,1,,6,,,,,,,,
E02000032,,5,1,1,,6,,,,,,,,
E02000033,,5,1,1,,6,,,,,,,,
E02000034,,5,1,1,,6,,,,,,,,
E02000035,,,1,1,,6,,,,,,,,
E02000036,1,,1,1,,,,,,,,,,
E02000037,1,,1,1,,,,,,,,,,
E02000038,,5,1,1,,6,,,,,,,,
E02000039,,,1,1,,,,,,,,,,
E02000040,,,1,1,,,,,,,,,,
E02000041,1,,1,1,,,,,,,,,,
E02000042,,,1,1,,6,,,,,,,,
E02000043,,,1,1,,,,,,,,,,
E02000044,,,1,1,,,,,,,,,,
E02000045,,,1,1,,,,,,,,,,
E02000046,,,1,1,,,,,,,,,,
E02000047,,,1,1,,,,,,,,,,
E02000048,,,1,1,,,,,,,,,,
E02000049,,,1,1,,,,,,,,,,
E02000050,,,1,1,,,,,,,,,,
E02000051,,,1,1,,,,,,,,,,
E02000052,,,1,1,,,,,,,,,,
E02000053,,,1,1,,,,,,,,,,
E02000054,,,1,1,,,,,,,,,,
E02000055,,,1,1,,,,,,,,,,
E02000056,,,1,1,,,,,,,,,,
E02000057,,,1,1,,,,,,,,,,
E02000058,,,1,1,,,,,,,,,,
E02000059,,,1,1,,,,,,,,,,
E02000060,,,1,1,,,,,,,,,,
E02000061,,,1,1,,,,,,,,,,
E02000062,,,1,1,,,,,,,,,,
E02000063,,,,1,,,,,,,,,,
E02000064,,,,1,,,,,,,,,,
E02000065,,6,,5,1,,,,,,,,,
E02000066,,6,,5,1,,,,,,,,,
E02000067,,6,,5,1,,,,,,,,,
